Título,Preço,Preço Anterior,Marca,Vendedor,Link,ID Produto,Entrega,Entrega FULL,Média Avaliações (Busca),Total Avaliações (Busca),5 Estrelas (%),5 Estrelas (Qtd),4 Estrelas (%),4 Estrelas (Qtd),3 Estrelas (%),3 Estrelas (Qtd),2 Estrelas (%),2 Estrelas (Qtd),1 Estrelas (%),1 Estrelas (Qtd),Classificação de Risco,Probabilidade Total (%),Probabilidade Preço (%),Motivo Análise Preço,Probabilidade Reviews (%),Motivo Análise Reviews,Reviews Suspeitas Detalhadas,Total Reviews Suspeitas
Cartucho Hp 667 Colorido 3ym78ab,"R$ 66,49",R$ 78,HP,Eshop,https://www.mercadolivre.com.br/cartucho-hp-667-colorido-3ym78ab/p/MLB22658653#polycard_client=search-nordic&searchVariation=MLB22658653&wid=MLB4030705941&position=31&search_layout=grid&type=product&tracking_id=64d41ac4-d8f6-4865-8359-e14e6592253c&sid=search,MLB22658653,N/A,Não,4.7,1938,86.43,1675,7.38,143,2.94,56,0.41,7,2.84,55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hp Ink Cartridges 2x 662xl Preto / Black Cz105ab,"R$ 187,20",N/A,HP,Park Ecom,https://www.mercadolivre.com.br/hp-ink-cartridges-2x-662xl-preto-black-cz105ab/p/MLB48643172#polycard_client=search-nordic&searchVariation=MLB48643172&wid=MLB5356295280&position=25&search_layout=grid&type=product&tracking_id=64d41ac4-d8f6-4865-8359-e14e6592253c&sid=search,MLB48643172,Frete grátis,Não,4.6,23,82.61,19,8.7,2,0.0,0,4.35,1,4.35,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cartucho Hp 667 667xl Deskjet 2776 Preto,"R$ 129,90",N/A,HP,N/A,https://www.mercadolivre.com.br/cartucho-hp-667-667xl-deskjet-2776-preto/p/MLB22843608#polycard_client=search-nordic&searchVariation=MLB22843608&wid=MLB3905774637&position=17&search_layout=grid&type=product&tracking_id=64d41ac4-d8f6-4865-8359-e14e6592253c&sid=search,MLB22843608,Frete grátis,Não,4.3,547,75.5,412,7.68,42,3.11,17,1.65,9,12.07,66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cartucho HP 667 Preto 2376 2776 6476,"R$ 66,90",N/A,HP,N/A,https://www.mercadolivre.com.br/cartucho-hp-667-preto-2376-2776-6476/p/MLB22022306#polycard_client=search-nordic&searchVariation=MLB22022306&wid=MLB3713375243&position=12&search_layout=grid&type=product&tracking_id=64d41ac4-d8f6-4865-8359-e14e6592253c&sid=search,MLB22022306,N/A,Sim,4.7,1938,86.43,1675,7.38,143,2.94,56,0.41,7,2.84,55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Cartucho HP 664 preto(F6V29AB) Para Deskjet 4535, 4675, 1115, 2135, 3775","R$ 64,61",R$ 78,HP,Eshop,https://www.mercadolivre.com.br/cartucho-hp-664-pretof6v29ab-para-deskjet-4535-4675-1115-2135-3775/p/MLB22534728#polycard_client=search-nordic&searchVariation=MLB22534728&wid=MLB3927113057&position=5&search_layout=grid&type=product&tracking_id=64d41ac4-d8f6-4865-8359-e14e6592253c&sid=search,MLB22534728,N/A,Sim,4.7,2065,83.91,1731,9.79,202,2.33,48,0.73,15,3.25,67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kit Cartucho Hp 664 Preto E Hp 664 Colorido,"R$ 153,10",N/A,HP,N/A,https://www.mercadolivre.com.br/kit-cartucho-hp-664-preto-e-hp-664-colorido/p/MLB36751072#polycard_client=search-nordic&searchVariation=MLB36751072&wid=MLB3789824595&position=8&search_layout=grid&type=product&tracking_id=64d41ac4-d8f6-4865-8359-e14e6592253c&sid=search,MLB36751072,Frete grátis,Sim,4.7,3358,86.63,2909,7.27,244,2.2,73,0.74,24,3.16,106,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cartucho De Tinta Hp 662 Preto Advantage,"R$ 66,21",R$ 77,HP,Eshop,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-662-preto-advantage/p/MLB36772792#polycard_client=search-nordic&searchVariation=MLB36772792&wid=MLB3929057435&position=11&search_layout=grid&type=product&tracking_id=64d41ac4-d8f6-4865-8359-e14e6592253c&sid=search,MLB36772792,N/A,Sim,4.6,1132,81.18,918,10.16,115,2.92,33,0.8,9,4.95,56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,"R$ 62,75",R$ 78,HP,Eshop,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB37141763#polycard_client=search-nordic&searchVariation=MLB37141763&wid=MLB5211173074&position=3&search_layout=grid&type=product&tracking_id=64d41ac4-d8f6-4865-8359-e14e6592253c&sid=search,MLB37141763,N/A,Sim,4.8,3405,86.9,2958,7.31,248,2.64,89,0.68,23,2.47,84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Cartucho HP 664 Colorido(F6V28AB) Para Ink Advantage 1115, 2134, 2136, 2676, 3636, 3776, 3786, 3788,3790, 3836, 4536, 4676,5076, 5276","R$ 69,30",R$ 77,HP,Eshop,https://www.mercadolivre.com.br/cartucho-hp-664-coloridof6v28ab-para-ink-advantage-1115-2134-2136-2676-3636-3776-3786-37883790-3836-4536-46765076-5276/p/MLB36752265#polycard_client=search-nordic&searchVariation=MLB36752265&wid=MLB3947461641&position=6&search_layout=grid&type=product&tracking_id=64d41ac4-d8f6-4865-8359-e14e6592253c&sid=search,MLB36752265,N/A,Sim,4.7,3358,86.63,2909,7.27,244,2.2,73,0.74,24,3.16,106,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cartucho De Tinta Hp 664 Negro y 664 Tricolor 2 Unidades,"R$ 153,10",N/A,HP,N/A,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-664-negro-y-664-tricolor-2-unidades/p/MLB36783881#polycard_client=search-nordic&searchVariation=MLB36783881&wid=MLB3688322801&position=9&search_layout=grid&type=product&tracking_id=64d41ac4-d8f6-4865-8359-e14e6592253c&sid=search,MLB36783881,Frete grátis,Sim,4.6,311,83.92,260,8.04,25,1.93,6,0.64,1,5.47,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
