titulo,marca,modelo,preco,cor,qualidade_descricao,quantidade_reviews,avaliacao,quantidade_fotos,seller_name,seller_reputation,listing_age_days,source_url
Cartuchos Para Impressora 2136/2676 664xl Hp Black+color,HP,664xl,263.7,Preto/Tricolor,Cartucho do tipo original. É recarregável. Rende 330 páginas. Tinta preta: pigmentada- color: corante.,221,4.5,5,SUST20240117165058,+1000 vendas,,https://www.mercadolivre.com.br/cartuchos-para-impressora-21362676-664xl-hp-blackcolor/p/MLB24123269#polycard_client=search-nordic&searchVariation=MLB24123269&wid=MLB4072130543&position=13&search_layout=grid&type=product&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac&sid=search
Kit Cabeça Ink Tank 5820 5822 430 416 M0h50a M0h51a Flex,HP,gt5822,369.9,Preto e Color,Produto original HP novo de primeiro uso com garantia de 3 meses.,301,4.7,5,gose,MercadoLíder Gold,30,https://produto.mercadolivre.com.br/MLB-2737026014-kit-cabeca-ink-tank-5820-5822-430-416-m0h50a-m0h51a-flex-_JM#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac&wid=MLB2737026014&sid=search
Cartucho Jato De Tinta Ink Advantage 664xl Black,HP,664XL,188.9,Black,Obtenha a qualidade da HP que você conhece e confia. Imprima documentos todos os dias com texto e imagens nítidas e os custos de impressão acessíveis com os cartuchos HP.,221,4.5,5,CAOLIPINTO,MercadoLíder,0,https://www.mercadolivre.com.br/cartucho-jato-de-tinta-ink-advantage-664xl-black/p/MLB36877280#polycard_client=search-nordic&searchVariation=MLB36877280&wid=MLB3723358251&position=19&search_layout=grid&type=product&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac&sid=search
Cartucho Hp Original M0h51a Preto 5822 416 412 316 116,HP,M0H51A,199.9,Preta,"Produto original HP novo de primeiro uso, com excelente qualidade e funcionamento.",40,4.6,0,coutistore,MercadoLíder,0,https://produto.mercadolivre.com.br/MLB-1254066049-cartucho-hp-original-m0h51a-preto-5822-416-412-316-116-_JM#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac&wid=MLB1254066049&sid=search
"Circuito Carro De Impressão Hp C/ Flat Gt5822, 410, 412, 416",HP,"Gt5810, Gt5820, Gt5822, 116, 310, 311, 316, 318, 319, 400, 410, 411, 415, 416, 418, 419",172.99,Não especificado,"Head drive (circuito de reconhecimento das cabeças de impressão), em perfeito funcionamento.",154,4.8,2,achoucomprouecommerce,MercadoLíder Gold,0,https://produto.mercadolivre.com.br/MLB-1792767530-circuito-carro-de-impresso-hp-c-flat-gt5822-410-412-416-_JM#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac&wid=MLB1792767530&sid=search
Solução De Limpeza Para Cartucho De Impressora E Cabeça De Impressão Preta E Colorida Compativel Impressoras Hp 2874 2774 1050 3050 Smart Ink Tank 416 412 410 517 581 584 Gt 5822 5820 Gt51 Gt52,Inkcor,Sol150sk,24.42,Incolor,Produto é um kit de fábrica para melhor desempenho. Ideal para cartuchos de impressora preta e colorida.,29,4.0,0,Inkcor,+5mil vendas,0,https://www.mercadolivre.com.br/soluco-de-limpeza-para-cartucho-de-impressora-e-cabeca-de-impresso-preta-e-colorida-compativel-impressoras-hp-2874-2774-1050-3050-smart-ink-tank-416-412-410-517-581-584-gt-5822-5820-gt51-gt52/p/MLB45502887#polycard_client=search-nordic&searchVariation=MLB45502887&wid=MLB3954504669&position=16&search_layout=grid&type=product&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac&sid=search
Kit 5 Cartucho 711xl 711 Para Plotter T120 T520 711 250 Ml,Cartridge Inkjet,711xl,196.75,PRETO - CYAN - YELLOW - MAGENTA,"100 % NOVO, não danifica a impressora, maior resolução e definição, cores vivas, não causa entupimento.",5000,4.5,5,GT CARTRIDGE INKJET,MercadoLíder Gold,30,https://www.mercadolivre.com.br/kit-5-cartucho-711xl-711-para-plotter-t120-t520-711-250-ml/p/MLB50427669#polycard_client=search-nordic&searchVariation=MLB50427669&wid=MLB5403837136&position=12&search_layout=grid&type=product&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac&sid=search
Frasco de tinta de cartucho preto completo Hp Gt53,HP,1VV22AL,64.9,Preto,A tinta possui rendimento aproximado de até 4.000 páginas.,9,5.0,0,Mm Santos,MercadoLíder Platinum,0,https://www.mercadolivre.com.br/frasco-de-tinta-de-cartucho-preto-completo-hp-gt53/p/MLB42270895#polycard_client=search-nordic&searchVariation=MLB42270895&wid=MLB4007687745&position=8&search_layout=grid&type=product&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac&sid=search
2 X Cartucho De Toner Para Laserjet M130fw M130nw Com Chip Tinta Black,Monocron,CF217A,135.31,Black,"Compatível com rendimento igual ao toner da marca da impressora, embalado e lacrado, pronto para utilização.",0,0.0,0,GT CARTRIDGE INKJET,MercadoLíder Gold,0,https://www.mercadolivre.com.br/2-x-cartucho-de-toner-para-laserjet-m130fw-m130nw-com-chip-tinta-black/p/MLB50411586#polycard_client=search-nordic&searchVariation=MLB50411586&wid=MLB4074075773&position=14&search_layout=grid&type=product&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac&sid=search
Cabeça De Impressão Colorido M0h50a Gt5822 5820 416 412 316,HP,MOH50A,171.0,tricolor,Qualidade de impressão: 1200dpi.,82,4.8,0,KOEPSELADRIANO,+500 vendas,0,https://www.mercadolivre.com.br/cabeca-de-impresso-colorido-m0h50a-gt5822-5820-416-412-316/p/MLB29234804#polycard_client=search-nordic&searchVariation=MLB29234804&wid=MLB3652913885&position=17&search_layout=grid&type=product&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac&sid=search
