id,titulo,link,preco,preco_original,desconto,vendedor,seller_id,reputation_level,power_seller_status,rating_medio,total_reviews,rating_5_estrelas,rating_4_estrelas,rating_3_estrelas,rating_2_estrelas,rating_1_estrela,tem_reviews,reviews_com_texto,reviews_com_imagens,avaliacoes_positivas,avaliacoes_negativas,avaliacoes_neutras,marca,condicao,descricao_produto,caracteristicas_principais,frete_gratis,shipping_mode,tempo_entrega,imagem_url,fotos_produto,product_id,sku,brand,data_coleta,tem_dados_detalhados,qualidade_extracao_detalhada,score_qualidade_detalhes,vendas_loja,vendas_produto,devolucao_gratis,compra_garantida,tempo_garantia,timestamp_extracao_detalhada,metodo_extracao_detalhada,tamanho_resposta_bytes,status_resposta_http
MLB36751629,Cartucho de tinta preta HP Advantage 664 de 2 ml,https://www.mercadolivre.com.br/cartucho-de-tinta-preta-hp-advantage-664-de-2-ml/p/MLB36751629#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=23224729-f4f4-4e63-be78-be430b2eb78a&wid=MLB4198173329&sid=search,BRL 65.73,R$ 78,Sem desconto,Eshop,1737442603,5_green,platinum,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,Cartucho de tinta preta de 2 mL. | Rendimento aproximado de 100 páginas. | Não é recarregável.,,Não,me2,Consultar no site,https://http2.mlstatic.com/D_Q_NP_2X_859652-MLA93093237434_092025-E.webp,"https://http2.mlstatic.com/D_NQ_NP_859652-MLA93093237434_092025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB36751629,MLB36751629,HP,2025-09-27T11:45:36.719418,True,excelente,100.0,,100000,Sim,Sim,30 dias,2025-09-27T11:45:09.402760,spider_scrapy,697299,200
MLB37141763,Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB37141763#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=23224729-f4f4-4e63-be78-be430b2eb78a&wid=MLB3713375243&sid=search,BRL 63.9,N/A,Sem desconto,OBERO INFORMATICA,676710281,5_green,platinum,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,Unidades por embalagem: 1. | Conteúdo total em volume: 2 mL. | Cor da tinta: Preto. | Unidades por kit: 1. | Formato de venda: Unidade. | Cartucho do tipo original. | Rendimentos 120 páginas,,Não,me2,Consultar no site,https://http2.mlstatic.com/D_Q_NP_2X_886903-MLA87439311815_072025-E.webp,"https://http2.mlstatic.com/D_NQ_NP_886903-MLA87439311815_072025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB37141763,MLB37141763,HP,2025-09-27T11:45:36.719418,True,excelente,100.0,,100000,Sim,Sim,30 dias,2025-09-27T11:45:12.481495,spider_scrapy,680801,200
MLB36751072,Kit Cartucho Hp 664 Preto E Hp 664 Colorido,https://www.mercadolivre.com.br/kit-cartucho-hp-664-preto-e-hp-664-colorido/p/MLB36751072#polycard_client=search-nordic&search_layout=grid&position=5&type=product&tracking_id=23224729-f4f4-4e63-be78-be430b2eb78a&wid=MLB4020435573&sid=search,BRL 127.39,N/A,Sem desconto,GUINDINHAPAPELARIA202212192153,1268698959,3_yellow,silver,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,Linha Advantage. | Conteúdo total em volume: 2 mL. | Cor da tinta: Preto Pigmentado e Colorido Corante. | Unidades por embalagem: 2. | Rendimento de páginas: 100.,,Sim,me2,Consultar no site,https://http2.mlstatic.com/D_Q_NP_2X_950197-MLU76394007878_052024-E.webp,"https://http2.mlstatic.com/D_NQ_NP_950197-MLU76394007878_052024-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB36751072,MLB36751072,HP,2025-09-27T11:45:36.719418,True,excelente,100.0,,50000,Sim,Sim,30 dias,2025-09-27T11:45:15.449628,spider_scrapy,685336,200
MLB36779932,2 Cartuchos 664 Preto Black Impressora Hp Deskjet,https://www.mercadolivre.com.br/2-cartuchos-664-preto-black-impressora-hp-deskjet/p/MLB36779932#polycard_client=search-nordic&search_layout=grid&position=6&type=product&tracking_id=23224729-f4f4-4e63-be78-be430b2eb78a&wid=MLB4678624598&sid=search,BRL 139.9,N/A,Sem desconto,OBERO INFORMATICA,676710281,5_green,platinum,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,Cartuchos com tinta pigmentada preta. | Rendimento de até 100 páginas por cartucho. | Recarregáveis para múltiplo uso.,,Sim,me2,Consultar no site,https://http2.mlstatic.com/D_Q_NP_2X_776710-MLU76109215014_052024-E.webp,"https://http2.mlstatic.com/D_NQ_NP_776710-MLU76109215014_052024-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB36779932,MLB36779932,HP,2025-09-27T11:45:36.719418,True,excelente,100.0,,1000,Sim,Sim,30 dias,2025-09-27T11:45:18.908203,spider_scrapy,692534,200
MLB36752265,"Cartucho HP 664 Colorido(F6V28AB) Para Ink Advantage 1115, 2134, 2136, 2676, 3636, 3776, 3786, 3788,3790, 3836, 4536, 4676,5076, 5276",https://www.mercadolivre.com.br/cartucho-hp-664-coloridof6v28ab-para-ink-advantage-1115-2134-2136-2676-3636-3776-3786-37883790-3836-4536-46765076-5276/p/MLB36752265#polycard_client=search-nordic&search_layout=grid&position=7&type=product&tracking_id=23224729-f4f4-4e63-be78-be430b2eb78a&wid=MLB5739828170&sid=search,BRL 61.96,R$ 77,Sem desconto,Mercado Livre,480263032,5_green,platinum,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,"Linha Advantage. | Conteúdo total em volume: 2 mL. | Cor da tinta: Colorido. | Unidades por embalagem: 1. | Tipo de tinta: Preto: Pigmentado, Colorido: Corante. | Rendimento de páginas: 100.",,Não,me2,Consultar no site,https://http2.mlstatic.com/D_Q_NP_2X_639008-MLA91921137841_092025-E.webp,"https://http2.mlstatic.com/D_NQ_NP_639008-MLA91921137841_092025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB36752265,MLB36752265,HP,2025-09-27T11:45:36.719418,True,excelente,100.0,,10000,Sim,Sim,30 dias,2025-09-27T11:45:21.305761,spider_scrapy,695451,200
MLB48102366,Kit 2 Cartuchos Hp 664xl (preto + Color) 2136 2676,https://www.mercadolivre.com.br/kit-2-cartuchos-hp-664xl-preto-color-2136-2676/p/MLB48102366#polycard_client=search-nordic&search_layout=grid&position=8&type=product&tracking_id=23224729-f4f4-4e63-be78-be430b2eb78a&wid=MLB5719977782&sid=search,"R$ 295,67",R$ 314,,Park Ecom,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,True,,,https://http2.mlstatic.com/D_Q_NP_2X_921961-MLA83444909992_042025-E.webp,,,,,2025-09-27T11:45:36.719418,False,basico_apenas,0.0,,,,,,,nao_realizada,0,0
N/A,Cartucho Tinta Original Hp 664 Preto F6v29ab 2136 2676 3776,https://www.mercadolivre.com.br/cartucho-tinta-original-hp-664-preto-f6v29ab-2136-2676-3776/up/MLBU753315902#polycard_client=search-nordic&search_layout=grid&position=9&type=product&tracking_id=23224729-f4f4-4e63-be78-be430b2eb78a&wid=MLB2671518847&sid=search,BRL 64.9,N/A,Sem desconto,OBERO INFORMATICA,676710281,5_green,platinum,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,Unidades por embalagem: 1 | Conteúdo total em volume: 2 mL | Cor da tinta: Preto | Unidades por kit: 1 | Formato de venda: Unidade | Cartucho do tipo original. | Rende 100 páginas,,Não,me2,Consultar no site,https://http2.mlstatic.com/D_Q_NP_2X_604903-MLA50235451064_062022-E.webp,"https://http2.mlstatic.com/D_NQ_NP_604903-MLA50235451064_062022-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLBU753315902,MLBU753315902,HP,2025-09-27T11:45:36.719418,True,excelente,100.0,,1000,Sim,Sim,30 dias,2025-09-27T11:45:26.001453,spider_scrapy,633502,200
MLB39092873,Kit 2 Cartuchos Hp 664 Hp 2136 3636 3836 4536 4676,https://www.mercadolivre.com.br/kit-2-cartuchos-hp-664-hp-2136-3636-3836-4536-4676/p/MLB39092873#polycard_client=search-nordic&search_layout=grid&position=10&type=product&tracking_id=23224729-f4f4-4e63-be78-be430b2eb78a&wid=MLB5012110756&sid=search,BRL 164.99,N/A,Sem desconto,CASAPRINT SPEED,567521007,5_green,platinum,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,"Unidades por embalagem: 2. | Cor da tinta: COLORIDO, PRETO. | Unidades por kit: 2. | Formato de venda: Kit. | Cartucho do tipo original. | Tinta pigmentada. | Rende 120 páginas.",,Sim,me2,Consultar no site,https://http2.mlstatic.com/D_Q_NP_2X_625071-MLA92010295485_092025-E.webp,"https://http2.mlstatic.com/D_NQ_NP_625071-MLA92010295485_092025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB39092873,MLB39092873,HP,2025-09-27T11:45:36.720417,True,excelente,100.0,,1000,Sim,Sim,30 dias,2025-09-27T11:45:28.910589,spider_scrapy,655556,200
MLB39028313,Kit 2 Cartuchos Hp 664: 1un Preto + 1un Color,https://www.mercadolivre.com.br/kit-2-cartuchos-hp-664-1un-preto-1un-color/p/MLB39028313#polycard_client=search-nordic&search_layout=grid&position=11&type=product&tracking_id=23224729-f4f4-4e63-be78-be430b2eb78a&wid=MLB5729014430&sid=search,BRL 134.9,N/A,Sem desconto,offpriceecommerce,1629013117,5_green,gold,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,"Linha Advantage com tinta preta e tricolor para impressões de alta qualidade. | Cartucho de 2 mL, ideal para uso diário.",,Sim,me2,Consultar no site,https://http2.mlstatic.com/D_Q_NP_2X_822808-MLU78194489785_082024-E.webp,"https://http2.mlstatic.com/D_NQ_NP_822808-MLU78194489785_082024-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB39028313,MLB39028313,HP,2025-09-27T11:45:36.720417,True,excelente,100.0,,5000,Sim,Sim,30 dias,2025-09-27T11:45:32.149176,spider_scrapy,685113,200
MLB36768292,Cartucho De Tinta Hp 664 Preto,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-664-preto/p/MLB36768292#polycard_client=search-nordic&search_layout=grid&position=12&type=product&tracking_id=23224729-f4f4-4e63-be78-be430b2eb78a&wid=MLB4199954843&sid=search,BRL 177.99,N/A,Sem desconto,"Tec Print ",69438105,5_green,platinum,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,Linha Advantage. | Conteúdo total em volume de 2 mL. | Cor da tinta: Preto/Pigmentado e Tricolor/Corante. | Unidades por embalagem: 1. | Tipo de tinta: Preto Pigmentado e Colorido Corante. | Rendimento de páginas: 100.,,Sim,me2,Consultar no site,https://http2.mlstatic.com/D_Q_NP_2X_907517-MLA84489489161_052025-E.webp,"https://http2.mlstatic.com/D_NQ_NP_907517-MLA84489489161_052025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB36768292,MLB36768292,HP,2025-09-27T11:45:36.720417,True,excelente,100.0,,5000,Sim,Sim,30 dias,2025-09-27T11:45:34.816309,spider_scrapy,695507,200
