id,titulo,link,preco,preco_original,desconto,vendedor,seller_id,reputation_level,power_seller_status,rating_medio,total_reviews,rating_5_estrelas,rating_4_estrelas,rating_3_estrelas,rating_2_estrelas,rating_1_estrela,tem_reviews,reviews_com_texto,reviews_com_imagens,avaliacoes_positivas,avaliacoes_negativas,avaliacoes_neutras,marca,condicao,descricao_produto,caracteristicas_principais,frete_gratis,shipping_mode,tempo_entrega,imagem_url,fotos_produto,product_id,sku,brand,data_coleta,tem_dados_detalhados,qualidade_extracao_detalhada,score_qualidade_detalhes,vendas_loja,vendas_produto,devolucao_gratis,compra_garantida,tempo_garantia,timestamp_extracao_detalhada,metodo_extracao_detalhada,tamanho_resposta_bytes,status_resposta_http
MLB37141763,Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB37141763#polycard_client=search-nordic&search_layout=stack&position=3&type=product&tracking_id=9348bede-20da-4830-a387-76cff08f2e54&wid=MLB4164477091&sid=search,BRL 59,R$ 71,24.4%,Eshop,1737442603,5_green,platinum,4.8,7473,5233,1868,224,74,74,True,0,0,7101,148,224,N/A,Novo,Unidades por embalagem: 1. | Conteúdo total em volume: 2 mL. | Cor da tinta: Preto. | Unidades por kit: 1. | Formato de venda: Unidade. | Cartucho do tipo original. | Rendimentos 120 páginas,,Não,me2,Consultar no site,N/A (imagens desabilitadas),"https://http2.mlstatic.com/D_NQ_NP_886903-MLA87439311815_072025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB37141763,MLB37141763,HP,2025-09-29T12:20:32.627870,True,excelente,83.3,,100000,Sim,Sim,30 dias,2025-09-29T12:19:59.357832,spider_scrapy,674438,200
MLB36752162,Cartucho De Tinta Hp Tricolor 667,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-tricolor-667/p/MLB36752162#polycard_client=search-nordic&search_layout=stack&position=4&type=product&tracking_id=9348bede-20da-4830-a387-76cff08f2e54&wid=MLB5151394802&sid=search,BRL 66.15,R$ 77,Sem desconto,MegaByteMagazine,167787623,5_green,platinum,4.7,1665,1168,416,49,16,16,True,0,0,1584,32,49,N/A,Novo,Unidades por embalagem: 1. | Conteúdo total em volume: 2 mL. | Cor da tinta: Colorida. | Unidades por kit: 1. | Formato de venda: Unidade. | Cartucho do tipo original. | Rende 100 páginas | Tinta à base de água.,,Não,me2,Consultar no site,N/A (imagens desabilitadas),"https://http2.mlstatic.com/D_NQ_NP_923540-MLU76267517903_052024-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB36752162,MLB36752162,HP,2025-09-29T12:20:32.628871,True,excelente,83.3,,10000,Sim,Sim,30 dias,2025-09-29T12:20:01.863488,spider_scrapy,697655,200
MLB39019456,Kit Cartucho Hp 667 Preto E 667 Colorido 2376 2776,https://www.mercadolivre.com.br/kit-cartucho-hp-667-preto-e-667-colorido-2376-2776/p/MLB39019456#polycard_client=search-nordic&search_layout=stack&position=5&type=product&tracking_id=9348bede-20da-4830-a387-76cff08f2e54&wid=MLB4143415521&sid=search,BRL 142.5,R$ 154,Sem desconto,vanvan,1377207124,5_green,platinum,4.8,319,225,79,9,3,3,True,0,0,304,6,9,N/A,Novo,Unidades por embalagem: 2. | Conteúdo total em volume: 4 mL. | Cor da tinta: Preto/Tricolor. | Unidades por kit: 2. | Formato de venda: Kit. | Cartucho do tipo original. | Tinta pigmentada. | Rende 120 páginas.,,Sim,me2,Consultar no site,N/A (imagens desabilitadas),"https://http2.mlstatic.com/D_NQ_NP_807591-MLU78192290417_082024-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB39019456,MLB39019456,HP,2025-09-29T12:20:32.628871,True,excelente,83.3,,5000,Sim,Sim,30 dias,2025-09-29T12:20:04.757136,spider_scrapy,679113,200
MLB22658653,Cartucho Hp 667 Colorido 3ym78ab,https://www.mercadolivre.com.br/cartucho-hp-667-colorido-3ym78ab/p/MLB22658653#polycard_client=search-nordic&search_layout=stack&position=6&type=product&tracking_id=9348bede-20da-4830-a387-76cff08f2e54&wid=MLB3897978171&sid=search,BRL 70.6,N/A,Sem desconto,vanvan,1377207124,5_green,platinum,4.7,1245,873,311,37,12,12,True,0,0,1184,24,37,N/A,Novo,Unidades por kit: 1. | Formato de venda: Unidade.,,Não,me2,Consultar no site,N/A (imagens desabilitadas),"https://http2.mlstatic.com/D_NQ_NP_935084-MLA91971430481_092025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB22658653,MLB22658653,HP,2025-09-29T12:20:32.628871,True,excelente,83.3,,10000,Sim,Sim,30 dias,2025-09-29T12:20:07.800160,spider_scrapy,689914,200
N/A,Kit Cartucho Tinta Original Hp 667 Preto/colorido 2376 2774,https://www.mercadolivre.com.br/kit-cartucho-tinta-original-hp-667-pretocolorido-2376-2774/up/MLBU750370459#polycard_client=search-nordic&search_layout=stack&position=7&type=product&tracking_id=9348bede-20da-4830-a387-76cff08f2e54&wid=MLB2685036387&sid=search,BRL 143.9,N/A,Sem desconto,OBERO INFORMATICA,676710281,5_green,platinum,4.7,4460,3124,1115,133,44,44,True,0,0,4239,88,133,N/A,Novo,Unidades por embalagem: 2 | Conteúdo total em volume: 2 mL | Cor da tinta: Tricolor e Preto | Unidades por kit: 1 | Formato de venda: Unidade | Cartucho do tipo original. | Rende 100 páginas,,Sim,me2,Consultar no site,N/A (imagens desabilitadas),"https://http2.mlstatic.com/D_NQ_NP_864941-MLB53340335621_012023-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLBU750370459,MLBU750370459,HP,2025-09-29T12:20:32.628871,True,excelente,83.3,,10000,Sim,Sim,30 dias,2025-09-29T12:20:10.328763,spider_scrapy,628094,200
MLB48152766,Kit Cartucho Hp 667 667xl Deskjet 2776 Preto E Color Full,https://www.mercadolivre.com.br/kit-cartucho-hp-667-667xl-deskjet-2776-preto-e-color-full/p/MLB48152766#polycard_client=search-nordic&search_layout=stack&position=8&type=product&tracking_id=9348bede-20da-4830-a387-76cff08f2e54&wid=MLB5370579290&sid=search,BRL 309.43,N/A,Sem desconto,Park Ecom,1301646661,5_green,platinum,4.5,136,96,34,4,1,1,True,0,0,130,2,4,N/A,Novo,Unidades por embalagem: 1. | Conteúdo total em volume: 8 mL. | Cor da tinta: Preto e Color. | Unidades por kit: 2. | Formato de venda: Kit. | Cartucho do tipo original. | É recarregável. | Tinta pigmentada. | Rende 480 páginas.,,Sim,me2,Consultar no site,N/A (imagens desabilitadas),https://http2.mlstatic.com/D_NQ_NP_789780-MLA83447264888_042025-O.webp,MLB48152766,MLB48152766,HP,2025-09-29T12:20:32.628871,True,excelente,83.3,,1000,Sim,Sim,30 dias,2025-09-29T12:20:13.038696,spider_scrapy,643678,200
MLB39018524,Kit 2 Cartuchos Hp 667 Preto P/ 2374 2376 2774 2776,https://www.mercadolivre.com.br/kit-2-cartuchos-hp-667-preto-p-2374-2376-2774-2776/p/MLB39018524#polycard_client=search-nordic&search_layout=stack&position=9&type=product&tracking_id=9348bede-20da-4830-a387-76cff08f2e54&wid=MLB5109186670&sid=search,BRL 179.8,N/A,Sem desconto,informticaponto,456253729,5_green,platinum,4.8,111,79,27,3,1,1,True,0,0,106,2,3,N/A,Novo,Conteúdo total em volume: 2 mL. | Cartucho do tipo original. | Rende 240 páginas. | Tinta pigmentada.,,Sim,me2,Consultar no site,N/A (imagens desabilitadas),"https://http2.mlstatic.com/D_NQ_NP_709003-MLA92146332677_092025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB39018524,MLB39018524,HP,2025-09-29T12:20:32.628871,True,excelente,83.3,,1000,Sim,Sim,30 dias,2025-09-29T12:20:16.405493,spider_scrapy,641495,200
MLB43544566,N/A,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-664xl-preto-f6v31ab/p/MLB43544566#polycard_client=search-nordic&search_layout=stack&position=10&type=product&tracking_id=9348bede-20da-4830-a387-76cff08f2e54&wid=MLB5575638530&sid=search,N/A,R$ 189,Sem desconto,N/A,,,,4.8,24,18,6,0,0,0,True,0,0,24,0,0,N/A,N/A,N/A,,Não,,Consultar no site,N/A (imagens desabilitadas),,,,,2025-09-29T12:20:32.628871,True,limitada,33.3,N/A,N/A,N/A,Sim,30 dias,2025-09-29T12:20:19.953157,spider_scrapy,209053,200
MLB55040541,Cartucho de tinta HP 667 Deskjet Ink Advantage cor preto do 2 mL,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-deskjet-ink-advantage-cor-preto-do-2-ml/p/MLB55040541#polycard_client=search-nordic&search_layout=stack&position=11&type=product&tracking_id=9348bede-20da-4830-a387-76cff08f2e54&wid=MLB5686731398&sid=search,BRL 77.99,N/A,Sem desconto,Tec Print ,69438105,5_green,platinum,4.8,2860,2004,715,85,28,28,True,0,0,2719,56,85,N/A,Novo,Cartucho do tipo original. | Tinta preto: pigmentado colorido: corante.,,Não,me2,Consultar no site,N/A (imagens desabilitadas),https://http2.mlstatic.com/D_NQ_NP_857589-MLA91641441290_092025-O.webp,MLB55040541,MLB55040541,HP,2025-09-29T12:20:32.628871,True,excelente,83.3,,1000,Sim,Sim,30 dias,2025-09-29T12:20:23.682533,spider_scrapy,663143,200
MLB36751072,Kit Cartucho Hp 664 Preto E Hp 664 Colorido,https://www.mercadolivre.com.br/kit-cartucho-hp-664-preto-e-hp-664-colorido/p/MLB36751072#polycard_client=search-nordic&search_layout=stack&position=12&type=product&tracking_id=9348bede-20da-4830-a387-76cff08f2e54&wid=MLB4020435573&sid=search,BRL 143.9,N/A,Sem desconto,OBERO INFORMATICA,676710281,5_green,platinum,4.7,4963,3477,1240,148,49,49,True,0,0,4717,98,148,N/A,Novo,Linha Advantage. | Conteúdo total em volume: 2 mL. | Cor da tinta: Preto Pigmentado e Colorido Corante. | Unidades por embalagem: 2. | Rendimento de páginas: 100.,,Sim,me2,Consultar no site,N/A (imagens desabilitadas),"https://http2.mlstatic.com/D_NQ_NP_950197-MLU76394007878_052024-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB36751072,MLB36751072,HP,2025-09-29T12:20:32.628871,True,excelente,83.3,,50000,Sim,Sim,30 dias,2025-09-29T12:20:26.418479,spider_scrapy,699867,200
