id,titulo,preco,preco_original,desconto,vendedor,reputacao_vendedor,condicao,frete_gratis,link,imagem_url,localizacao,vendas,media_avaliacoes,total_avaliacoes,entrega,marca,data_coleta,nome_produto_detalhado,condicao_produto_detalhada,descricao_produto,preco_detalhado,desconto_detalhado,frete_gratis_detalhado,tempo_entrega,nome_loja,vendas_loja,vendas_produto,devolucao_gratis,compra_garantida,tempo_garantia,caracteristicas_principais,fotos_produto,avaliacao,outros_dados,timestamp_extracao_detalhada,tem_dados_detalhados,total_reviews,rating_medio,rating_5_estrelas,rating_4_estrelas,rating_3_estrelas,rating_2_estrelas,rating_1_estrela,tem_reviews,reviews_com_texto,reviews_com_imagens,cobertura_texto_reviews,tamanho_medio_review,avaliacoes_positivas,avaliacoes_negativas,avaliacoes_neutras,metodo_coleta_reviews,qualidade_extracao_detalhada,metodo_extracao_detalhada,score_qualidade_detalhes,tamanho_resposta_bytes,status_resposta_http
MLB37141763,Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,"R$ 63,90",N/A,,N/A,,,True,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB37141763#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=f1ae03eb-34c4-4194-b697-0dbb81cd2d4c&wid=MLB3713375243&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_886903-MLA87439311815_072025-E.webp,,,4.8,7399,Frete grátis,N/A,2025-09-26T22:20:28.071488,Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,Novo,Unidades por embalagem: 1. | Conteúdo total em volume: 2 mL. | Cor da tinta: Preto. | Unidades por kit: 1. | Formato de venda: Unidade. | Cartucho do tipo original. | Rendimentos 120 páginas,BRL 64.21,Sem desconto,Não,Consultar no site,MegaByteMagazine,,100000,Sim,Sim,30 dias,,"https://http2.mlstatic.com/D_NQ_NP_886903-MLA87439311815_072025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Rating: 4.8, Count: 7399, Reviews: 7399",seller_id: 167787623; reputation_level: 5_green; power_seller_status: platinum; shipping_mode: me2; review_rate: 5; brand: HP; sku: MLB37141763; product_id: MLB37141763,2025-09-26T22:18:01.069538,True,7399,4.8,0,0,0,0,0,True,1256,38,0,0,0,0,0,extracao_detalhada,excelente,spider_scrapy,100.0,680940,200
MLB36751629,Cartucho de tinta preta HP Advantage 664 de 2 ml,"R$ 65,73",R$ 78,,Eshop,,,True,https://www.mercadolivre.com.br/cartucho-de-tinta-preta-hp-advantage-664-de-2-ml/p/MLB36751629#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=f1ae03eb-34c4-4194-b697-0dbb81cd2d4c&wid=MLB4198173329&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_901486-MLA82666700555_022025-E.webp,,,4.7,4928,Frete grátis,N/A,2025-09-26T22:20:28.071488,Cartucho de tinta preta HP Advantage 664 de 2 ml,Novo,Cartucho de tinta preta de 2 mL. | Rendimento aproximado de 100 páginas. | Não é recarregável.,BRL 65.73,Sem desconto,Não,Consultar no site,Eshop,,100000,Sim,Sim,30 dias,,"https://http2.mlstatic.com/D_NQ_NP_901486-MLA82666700555_022025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Rating: 4.7, Count: 4928, Reviews: 4928",seller_id: 1737442603; reputation_level: 5_green; power_seller_status: platinum; shipping_mode: me2; review_rate: 4; brand: HP; sku: MLB36751629; product_id: MLB36751629,2025-09-26T22:18:04.596244,True,4928,4.7,0,0,0,0,0,True,857,41,0,0,0,0,0,extracao_detalhada,excelente,spider_scrapy,100.0,691689,200
MLB48102366,Kit 2 Cartuchos Hp 664xl (preto + Color) 2136 2676,"R$ 295,67",R$ 314,,Park Ecom,,,True,https://www.mercadolivre.com.br/kit-2-cartuchos-hp-664xl-preto-color-2136-2676/p/MLB48102366#polycard_client=search-nordic&search_layout=grid&position=5&type=product&tracking_id=f1ae03eb-34c4-4194-b697-0dbb81cd2d4c&wid=MLB5719977782&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_921961-MLA83444909992_042025-E.webp,,,4.6,113,Chegará grátis amanhã sábado,N/A,2025-09-26T22:20:28.071488,Kit 2 Cartuchos Hp 664xl (preto + Color) 2136 2676,Novo,Formato de venda: Kit. | Cartucho do tipo original. | É recarregável. | Tinta pigmentada. | Rende 300 páginas.,BRL 295.67,Sem desconto,Sim,Consultar no site,Park Ecom,,1000,Sim,Sim,30 dias,,"https://http2.mlstatic.com/D_NQ_NP_921961-MLA83444909992_042025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Rating: 4.6, Count: 113, Reviews: 113",seller_id: 1301646661; reputation_level: 5_green; power_seller_status: platinum; shipping_mode: me2; review_rate: 4; brand: HP; sku: MLB48102366; product_id: MLB48102366,2025-09-26T22:18:06.886536,True,113,4.6,0,0,0,0,0,True,27,5,0,0,0,0,0,extracao_detalhada,excelente,spider_scrapy,100.0,669582,200
N/A,Cartucho Tinta Original Hp 664 Preto F6v29ab 2136 2676 3776,"R$ 64,90",N/A,,N/A,,,True,https://www.mercadolivre.com.br/cartucho-tinta-original-hp-664-preto-f6v29ab-2136-2676-3776/up/MLBU753315902#polycard_client=search-nordic&search_layout=grid&position=6&type=product&tracking_id=f1ae03eb-34c4-4194-b697-0dbb81cd2d4c&wid=MLB2671518847&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_604903-MLA50235451064_062022-E.webp,,,4.7,312,Frete grátis,N/A,2025-09-26T22:20:28.071488,Cartucho Tinta Original Hp 664 Preto F6v29ab 2136 2676 3776,Novo,Unidades por embalagem: 1 | Conteúdo total em volume: 2 mL | Cor da tinta: Preto | Unidades por kit: 1 | Formato de venda: Unidade | Cartucho do tipo original. | Rende 100 páginas,BRL 64.9,Sem desconto,Não,Consultar no site,OBERO INFORMATICA,,1000,Sim,Sim,30 dias,,"https://http2.mlstatic.com/D_NQ_NP_604903-MLA50235451064_062022-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Rating: 4.7, Count: 313, Reviews: 313",seller_id: 676710281; reputation_level: 5_green; power_seller_status: platinum; shipping_mode: me2; review_rate: 4; brand: HP; sku: MLBU753315902; product_id: MLBU753315902,2025-09-26T22:18:10.154745,True,313,4.7,0,0,0,0,0,True,67,4,0,0,0,0,0,extracao_detalhada,excelente,spider_scrapy,100.0,632881,200
MLB36752265,"Cartucho HP 664 Colorido(F6V28AB) Para Ink Advantage 1115, 2134, 2136, 2676, 3636, 3776, 3786, 3788,3790, 3836, 4536, 4676,5076, 5276","R$ 61,96",R$ 77,,Mercado Livre,,,True,https://www.mercadolivre.com.br/cartucho-hp-664-coloridof6v28ab-para-ink-advantage-1115-2134-2136-2676-3636-3776-3786-37883790-3836-4536-46765076-5276/p/MLB36752265#polycard_client=search-nordic&search_layout=grid&position=7&type=product&tracking_id=f1ae03eb-34c4-4194-b697-0dbb81cd2d4c&wid=MLB5739828170&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_639008-MLA91921137841_092025-E.webp,,,4.7,4928,Frete grátis,N/A,2025-09-26T22:20:28.071488,"Cartucho HP 664 Colorido(F6V28AB) Para Ink Advantage 1115, 2134, 2136, 2676, 3636, 3776, 3786, 3788,3790, 3836, 4536, 4676,5076, 5276",Novo,"Linha Advantage. | Conteúdo total em volume: 2 mL. | Cor da tinta: Colorido. | Unidades por embalagem: 1. | Tipo de tinta: Preto: Pigmentado, Colorido: Corante. | Rendimento de páginas: 100.",BRL 61.96,Sem desconto,Não,Consultar no site,Mercado Livre,,10000,Sim,Sim,30 dias,,"https://http2.mlstatic.com/D_NQ_NP_639008-MLA91921137841_092025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Rating: 4.7, Count: 4928, Reviews: 4928",seller_id: 480263032; reputation_level: 5_green; power_seller_status: platinum; shipping_mode: me2; review_rate: 4; brand: HP; sku: MLB36752265; product_id: MLB36752265,2025-09-26T22:18:12.783165,True,4928,4.7,0,0,0,0,0,True,857,41,0,0,0,0,0,extracao_detalhada,excelente,spider_scrapy,100.0,695602,200
MLB36779932,2 Cartuchos 664 Preto Black Impressora Hp Deskjet,"R$ 128,92",R$ 152,,N/A,,,False,https://www.mercadolivre.com.br/2-cartuchos-664-preto-black-impressora-hp-deskjet/p/MLB36779932#polycard_client=search-nordic&search_layout=grid&position=8&type=product&tracking_id=f1ae03eb-34c4-4194-b697-0dbb81cd2d4c&wid=MLB4160125791&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_776710-MLU76109215014_052024-E.webp,,,4.7,4928,Frete grátis,N/A,2025-09-26T22:20:28.071488,2 Cartuchos 664 Preto Black Impressora Hp Deskjet,Novo,Cartuchos com tinta pigmentada preta. | Rendimento de até 100 páginas por cartucho. | Recarregáveis para múltiplo uso.,BRL 128.92,Sem desconto,Sim,Consultar no site,VIIT,,1000,Sim,Sim,30 dias,,"https://http2.mlstatic.com/D_NQ_NP_776710-MLU76109215014_052024-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Rating: 4.7, Count: 4928, Reviews: 4928",seller_id: 127270513; reputation_level: 5_green; power_seller_status: platinum; shipping_mode: me2; review_rate: 4; brand: HP; sku: MLB36779932; product_id: MLB36779932,2025-09-26T22:18:16.051079,True,4928,4.7,0,0,0,0,0,True,857,41,0,0,0,0,0,extracao_detalhada,excelente,spider_scrapy,100.0,690506,200
MLB2039342702,Kit 02 Cartucho 664xl Preto 664 Xl Original Hp E Lacrado,"R$ 193,03",R$ 215,,Park Ecom,,,False,https://www.mercadolivre.com.br/kit-cartucho-de-tinta-664xl-bk-e-color-novo-original/p/MLB2039342702#polycard_client=search-nordic&search_layout=grid&position=9&type=product&tracking_id=f1ae03eb-34c4-4194-b697-0dbb81cd2d4c&wid=MLB3208174446&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_723436-MLB84792116624_052025-E.webp,,,4.3,164,Frete grátis,N/A,2025-09-26T22:20:28.071488,Kit 02 Cartucho 664xl Preto 664 Xl Original Hp E Lacrado,Novo,"PARK ECOM, LOJA OFICIAL DO MERCADO LIVRE. APROVEITE AS MELHORES CONDIÇÕES DE COMPRA COM ENVIO RÁPIDO E FRETE GRÁTIS ACIMA DE 79,00! --- QUALIDADE GARANTIDA. --- PRODUTO NOVO. --- EMITIMOS NOTA FISCAL PARA PESSOA FÍSICA E JURÍDICA. --- GARANTIA CONTRA DEFEITOS DE FABRICAÇÃO. ANÚNCIO CONTENDO: 02 CARTUCHOS HP 664XL PRETO DESEMPENHO: 664XL PRETO - ATÉ 480 PÁGINAS (com base na cobertura de 5% da página) VOLUME DE TINTA EM CADA CARTUCHO PRETO: 8,5ml ***PREZADO CLIENTE, ANTES DE CONFIRMAR A COMPRA, VERIFICAR A COMPATIBILIDADE DO CARTUCHO PARA SUA IMPRESSORA. NÃO TROCAMOS CARTUCHOS VIOLADOS POR ERRO DE COMPRA.*** Compatibilidade: Impressora HP Deskjet Ink Advantage 1115 Impressora HP Deskjet Ink Advantage 2134 Impressora HP Deskjet Ink Advantage 2136 Impressora HP Deskjet Ink Advantage 2676 Impressora HP Deskjet Ink Advantage 3636 Impressora HP Deskjet Ink Advantage 3776 Impressora HP Deskjet Ink Advantage 3786 Impressora HP Deskjet Ink Advantage 3788 Impressora HP Deskjet Ink Advantage 3790 ",BRL 193.03,Sem desconto,Sim,6-6 dias úteis,Park Ecom,,1000,Sim,Sim,30 dias,,"https://http2.mlstatic.com/D_NQ_NP_848927-MLB89500631492_082025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Rating: 4.3, Count: 164, Reviews: 164",seller_id: 1301646661; reputation_level: 5_green; power_seller_status: platinum; shipping_mode: me2; review_rate: 4; brand: HP; sku: MLB2039342702; product_id: MLB2039342702,2025-09-26T22:18:21.013552,True,164,4.3,0,0,0,0,0,True,40,2,0,0,0,0,0,extracao_detalhada,excelente,spider_scrapy,100.0,966296,200
MLB39028313,Kit 2 Cartuchos Hp 664: 1un Preto + 1un Color,"R$ 134,90",N/A,,N/A,,,False,https://www.mercadolivre.com.br/kit-2-cartuchos-hp-664-1un-preto-1un-color/p/MLB39028313#polycard_client=search-nordic&search_layout=grid&position=10&type=product&tracking_id=f1ae03eb-34c4-4194-b697-0dbb81cd2d4c&wid=MLB5729014430&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_822808-MLU78194489785_082024-E.webp,,,4.7,4928,Frete grátis,N/A,2025-09-26T22:20:28.071488,Kit 2 Cartuchos Hp 664: 1un Preto + 1un Color,Novo,"Linha Advantage com tinta preta e tricolor para impressões de alta qualidade. | Cartucho de 2 mL, ideal para uso diário.",BRL 134.9,Sem desconto,Sim,Consultar no site,offpriceecommerce,,5000,Sim,Sim,30 dias,,"https://http2.mlstatic.com/D_NQ_NP_822808-MLU78194489785_082024-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Rating: 4.7, Count: 4928, Reviews: 4928",seller_id: 1629013117; reputation_level: 5_green; power_seller_status: gold; shipping_mode: me2; review_rate: 4; brand: HP; sku: MLB39028313; product_id: MLB39028313,2025-09-26T22:18:24.138894,True,4928,4.7,0,0,0,0,0,True,857,41,0,0,0,0,0,extracao_detalhada,excelente,spider_scrapy,100.0,685255,200
MLB36768292,Cartucho De Tinta Hp 664 Preto,"R$ 143,90",N/A,,N/A,,,False,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-664-preto/p/MLB36768292#polycard_client=search-nordic&search_layout=grid&position=11&type=product&tracking_id=f1ae03eb-34c4-4194-b697-0dbb81cd2d4c&wid=MLB4678660474&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_907517-MLA84489489161_052025-E.webp,,,4.7,4928,Frete grátis,N/A,2025-09-26T22:20:28.071488,Cartucho De Tinta Hp 664 Preto,Novo,Linha Advantage. | Conteúdo total em volume de 2 mL. | Cor da tinta: Preto/Pigmentado e Tricolor/Corante. | Unidades por embalagem: 1. | Tipo de tinta: Preto Pigmentado e Colorido Corante. | Rendimento de páginas: 100.,BRL 143.9,Sem desconto,Sim,Consultar no site,OBERO INFORMATICA,,5000,Sim,Sim,30 dias,,"https://http2.mlstatic.com/D_NQ_NP_907517-MLA84489489161_052025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Rating: 4.7, Count: 4928, Reviews: 4928",seller_id: 676710281; reputation_level: 5_green; power_seller_status: platinum; shipping_mode: me2; review_rate: 4; brand: HP; sku: MLB36768292; product_id: MLB36768292,2025-09-26T22:18:29.043406,True,4928,4.7,0,0,0,0,0,True,857,41,0,0,0,0,0,extracao_detalhada,excelente,spider_scrapy,100.0,691904,200
MLB39028582,3 Cartuchos Hp 664xl Preto 2 Color Genuíno,"R$ 619,50",N/A,,Park Ecom,,,False,https://www.mercadolivre.com.br/3-cartuchos-hp-664xl-preto-2-color-genuino/p/MLB39028582#polycard_client=search-nordic&search_layout=grid&position=12&type=product&tracking_id=f1ae03eb-34c4-4194-b697-0dbb81cd2d4c&wid=MLB4973488738&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_633784-MLA91969127157_092025-E.webp,,,4.6,113,Frete grátis,N/A,2025-09-26T22:20:28.071488,3 Cartuchos Hp 664xl Preto 2 Color Genuíno,Novo,Formato de venda: Kit. | Cartucho do tipo original. | É recarregável. | Tinta pigmentada. | Rende 300 páginas.,BRL 619.5,Sem desconto,Sim,Consultar no site,Park Ecom,,100,Sim,Sim,30 dias,,"https://http2.mlstatic.com/D_NQ_NP_633784-MLA91969127157_092025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Rating: 4.6, Count: 113, Reviews: 113",seller_id: 1301646661; reputation_level: 5_green; power_seller_status: platinum; shipping_mode: me2; review_rate: 4; brand: HP; sku: MLB39028582; product_id: MLB39028582,2025-09-26T22:18:31.846271,True,113,4.6,0,0,0,0,0,True,27,5,0,0,0,0,0,extracao_detalhada,excelente,spider_scrapy,100.0,655528,200
