id,titulo,link,preco,preco_original,desconto,vendedor,seller_id,reputation_level,power_seller_status,rating_medio,total_reviews,rating_5_estrelas,rating_4_estrelas,rating_3_estrelas,rating_2_estrelas,rating_1_estrela,tem_reviews,reviews_com_texto,reviews_com_imagens,avaliacoes_positivas,avaliacoes_negativas,avaliacoes_neutras,marca,condicao,descricao_produto,caracteristicas_principais,frete_gratis,shipping_mode,tempo_entrega,imagem_url,fotos_produto,product_id,sku,brand,data_coleta,tem_dados_detalhados,qualidade_extracao_detalhada,score_qualidade_detalhes,comentarios_reviews,total_comentarios,comentarios_positivos,comentarios_negativos,comentarios_com_imagens,comentario_mais_curtido,comentario_mais_recente,vendas_loja,vendas_produto,devolucao_gratis,compra_garantida,tempo_garantia,timestamp_extracao_detalhada,metodo_extracao_detalhada,tamanho_resposta_bytes,status_resposta_http
MLB37141763,Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB37141763#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=1d05622b-ce4a-4814-b874-47d06db83ba0&wid=MLB4164477091&sid=search,"R$ 64,22",R$ 71,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T12:32:54.916746,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB36752162,Cartucho De Tinta Hp Tricolor 667,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-tricolor-667/p/MLB36752162#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=1d05622b-ce4a-4814-b874-47d06db83ba0&wid=MLB5151394802&sid=search,"R$ 66,15",R$ 77,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T12:32:54.916746,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB39019456,Kit Cartucho Hp 667 Preto E 667 Colorido 2376 2776,https://www.mercadolivre.com.br/kit-cartucho-hp-667-preto-e-667-colorido-2376-2776/p/MLB39019456#polycard_client=search-nordic&search_layout=grid&position=5&type=product&tracking_id=1d05622b-ce4a-4814-b874-47d06db83ba0&wid=MLB4143415521&sid=search,"R$ 142,50",R$ 154,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T12:32:54.916746,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB22658653,Cartucho Hp 667 Colorido 3ym78ab,https://www.mercadolivre.com.br/cartucho-hp-667-colorido-3ym78ab/p/MLB22658653#polycard_client=search-nordic&search_layout=grid&position=6&type=product&tracking_id=1d05622b-ce4a-4814-b874-47d06db83ba0&wid=MLB3897978171&sid=search,"R$ 70,60",N/A,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T12:32:54.916746,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
N/A,Kit Cartucho Tinta Original Hp 667 Preto/colorido 2376 2774,https://www.mercadolivre.com.br/kit-cartucho-tinta-original-hp-667-pretocolorido-2376-2774/up/MLBU750370459#polycard_client=search-nordic&search_layout=grid&position=7&type=product&tracking_id=1d05622b-ce4a-4814-b874-47d06db83ba0&wid=MLB2685036387&sid=search,"R$ 143,90",N/A,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T12:32:54.916746,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB48152766,Kit Cartucho Hp 667 667xl Deskjet 2776 Preto E Color Full,https://www.mercadolivre.com.br/kit-cartucho-hp-667-667xl-deskjet-2776-preto-e-color-full/p/MLB48152766#polycard_client=search-nordic&search_layout=grid&position=8&type=product&tracking_id=1d05622b-ce4a-4814-b874-47d06db83ba0&wid=MLB5370579290&sid=search,"R$ 309,43",N/A,,Park Ecom,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T12:32:54.916746,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB43544566,Cartucho De Tinta Hp 664xl Preto F6v31ab,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-664xl-preto-f6v31ab/p/MLB43544566#polycard_client=search-nordic&search_layout=grid&position=9&type=product&tracking_id=1d05622b-ce4a-4814-b874-47d06db83ba0&wid=MLB5575638530&sid=search,"R$ 121,40",R$ 189,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T12:32:54.916746,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB55040541,Cartucho de tinta HP 667 Deskjet Ink Advantage cor preto do 2 mL,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-deskjet-ink-advantage-cor-preto-do-2-ml/p/MLB55040541#polycard_client=search-nordic&search_layout=grid&position=10&type=product&tracking_id=1d05622b-ce4a-4814-b874-47d06db83ba0&wid=MLB5686731398&sid=search,"R$ 77,99",N/A,,Tec Print,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T12:32:54.916746,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB36751072,Kit Cartucho Hp 664 Preto E Hp 664 Colorido,https://www.mercadolivre.com.br/kit-cartucho-hp-664-preto-e-hp-664-colorido/p/MLB36751072#polycard_client=search-nordic&search_layout=grid&position=11&type=product&tracking_id=1d05622b-ce4a-4814-b874-47d06db83ba0&wid=MLB4215448989&sid=search,"R$ 134,90",N/A,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T12:32:54.916746,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB22843608,Cartucho Hp 667 667xl Deskjet 2776 Preto,https://www.mercadolivre.com.br/cartucho-hp-667-667xl-deskjet-2776-preto/p/MLB22843608#polycard_client=search-nordic&search_layout=grid&position=12&type=product&tracking_id=1d05622b-ce4a-4814-b874-47d06db83ba0&wid=MLB3905774637&sid=search,"R$ 106,51",R$ 129,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T12:32:54.916746,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
