id,titulo,preco,preco_original,desconto,vendedor,reputacao_vendedor,condicao,frete_gratis,link,imagem_url,localizacao,vendas,media_avaliacoes,total_avaliacoes,entrega,marca,data_coleta,nome_produto_detalhado,condicao_produto_detalhada,descricao_produto,preco_detalhado,desconto_detalhado,frete_gratis_detalhado,tempo_entrega,nome_loja,vendas_loja,vendas_produto,devolucao_gratis,compra_garantida,tempo_garantia,caracteristicas_principais,fotos_produto,avaliacao,outros_dados,timestamp_extracao_detalhada,tem_dados_detalhados,total_reviews,rating_medio,rating_5_estrelas,rating_4_estrelas,rating_3_estrelas,rating_2_estrelas,rating_1_estrela,tem_reviews
MLB37141763,Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,"R$ 64,21",R$ 71,,N/A,,,True,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB37141763#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=c51c1d6c-06fe-4a6a-96bf-fed1bb49ae4d&wid=MLB4164477091&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_886903-MLA87439311815_072025-E.webp,,,4.8,7399,Frete grátis,N/A,2025-09-26T21:37:36.868640,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,False
MLB36751629,Cartucho de tinta preta HP Advantage 664 de 2 ml,"R$ 65,73",R$ 78,,Eshop,,,True,https://www.mercadolivre.com.br/cartucho-de-tinta-preta-hp-advantage-664-de-2-ml/p/MLB36751629#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=c51c1d6c-06fe-4a6a-96bf-fed1bb49ae4d&wid=MLB4198173329&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_901486-MLA82666700555_022025-E.webp,,,4.7,4923,Frete grátis,N/A,2025-09-26T21:37:36.868640,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,False
MLB48102366,Kit 2 Cartuchos Hp 664xl (preto + Color) 2136 2676,"R$ 295,67",R$ 314,,Park Ecom,,,True,https://www.mercadolivre.com.br/kit-2-cartuchos-hp-664xl-preto-color-2136-2676/p/MLB48102366#polycard_client=search-nordic&search_layout=grid&position=5&type=product&tracking_id=c51c1d6c-06fe-4a6a-96bf-fed1bb49ae4d&wid=MLB5719977782&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_921961-MLA83444909992_042025-E.webp,,,4.6,113,Frete grátis,N/A,2025-09-26T21:37:36.868640,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,False
N/A,Cartucho Tinta Original Hp 664 Preto F6v29ab 2136 2676 3776,"R$ 64,90",N/A,,N/A,,,True,https://www.mercadolivre.com.br/cartucho-tinta-original-hp-664-preto-f6v29ab-2136-2676-3776/up/MLBU753315902#polycard_client=search-nordic&search_layout=grid&position=6&type=product&tracking_id=c51c1d6c-06fe-4a6a-96bf-fed1bb49ae4d&wid=MLB2671518847&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_604903-MLA50235451064_062022-E.webp,,,4.7,312,Frete grátis,N/A,2025-09-26T21:37:36.868640,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,False
MLB36752265,"Cartucho HP 664 Colorido(F6V28AB) Para Ink Advantage 1115, 2134, 2136, 2676, 3636, 3776, 3786, 3788,3790, 3836, 4536, 4676,5076, 5276","R$ 61,96",R$ 77,,Mercado Livre,,,True,https://www.mercadolivre.com.br/cartucho-hp-664-coloridof6v28ab-para-ink-advantage-1115-2134-2136-2676-3636-3776-3786-37883790-3836-4536-46765076-5276/p/MLB36752265#polycard_client=search-nordic&search_layout=grid&position=7&type=product&tracking_id=c51c1d6c-06fe-4a6a-96bf-fed1bb49ae4d&wid=MLB5739828170&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_639008-MLA91921137841_092025-E.webp,,,4.7,4923,Frete grátis,N/A,2025-09-26T21:37:36.868640,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,False
MLB36779932,2 Cartuchos 664 Preto Black Impressora Hp Deskjet,"R$ 128,92",R$ 152,,N/A,,,False,https://www.mercadolivre.com.br/2-cartuchos-664-preto-black-impressora-hp-deskjet/p/MLB36779932#polycard_client=search-nordic&search_layout=grid&position=8&type=product&tracking_id=c51c1d6c-06fe-4a6a-96bf-fed1bb49ae4d&wid=MLB4160125791&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_776710-MLU76109215014_052024-E.webp,,,4.7,4923,Frete grátis,N/A,2025-09-26T21:37:36.868640,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,False
MLB2039342702,Kit 02 Cartucho 664xl Preto 664 Xl Original Hp E Lacrado,"R$ 193,03",R$ 215,,Park Ecom,,,False,https://www.mercadolivre.com.br/kit-cartucho-de-tinta-664xl-bk-e-color-novo-original/p/MLB2039342702#polycard_client=search-nordic&search_layout=grid&position=9&type=product&tracking_id=c51c1d6c-06fe-4a6a-96bf-fed1bb49ae4d&wid=MLB3208174446&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_723436-MLB84792116624_052025-E.webp,,,4.3,164,Frete grátis,N/A,2025-09-26T21:37:36.868640,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,False
MLB39028313,Kit 2 Cartuchos Hp 664: 1un Preto + 1un Color,"R$ 134,90",N/A,,N/A,,,False,https://www.mercadolivre.com.br/kit-2-cartuchos-hp-664-1un-preto-1un-color/p/MLB39028313#polycard_client=search-nordic&search_layout=grid&position=10&type=product&tracking_id=c51c1d6c-06fe-4a6a-96bf-fed1bb49ae4d&wid=MLB5729014430&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_822808-MLU78194489785_082024-E.webp,,,4.7,4923,Frete grátis,N/A,2025-09-26T21:37:36.868640,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,False
MLB36768292,Cartucho De Tinta Hp 664 Preto,"R$ 143,90",N/A,,N/A,,,False,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-664-preto/p/MLB36768292#polycard_client=search-nordic&search_layout=grid&position=11&type=product&tracking_id=c51c1d6c-06fe-4a6a-96bf-fed1bb49ae4d&wid=MLB4678660474&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_907517-MLA84489489161_052025-E.webp,,,4.7,4923,Frete grátis,N/A,2025-09-26T21:37:36.868640,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,False
MLB39028582,3 Cartuchos Hp 664xl Preto 2 Color Genuíno,"R$ 619,50",N/A,,Park Ecom,,,False,https://www.mercadolivre.com.br/3-cartuchos-hp-664xl-preto-2-color-genuino/p/MLB39028582#polycard_client=search-nordic&search_layout=grid&position=12&type=product&tracking_id=c51c1d6c-06fe-4a6a-96bf-fed1bb49ae4d&wid=MLB4973488738&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_633784-MLA91969127157_092025-E.webp,,,4.6,113,Frete grátis,N/A,2025-09-26T21:37:36.868640,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,False
