id,titulo,link,preco,preco_original,desconto,vendedor,seller_id,reputation_level,power_seller_status,rating_medio,total_reviews,rating_5_estrelas,rating_4_estrelas,rating_3_estrelas,rating_2_estrelas,rating_1_estrela,tem_reviews,reviews_com_texto,reviews_com_imagens,avaliacoes_positivas,avaliacoes_negativas,avaliacoes_neutras,marca,condicao,descricao_produto,caracteristicas_principais,frete_gratis,shipping_mode,tempo_entrega,imagem_url,fotos_produto,product_id,sku,brand,data_coleta,tem_dados_detalhados,qualidade_extracao_detalhada,score_qualidade_detalhes,comentarios_reviews,total_comentarios,comentarios_positivos,comentarios_negativos,comentarios_com_imagens,comentario_mais_curtido,comentario_mais_recente,vendas_loja,vendas_produto,devolucao_gratis,compra_garantida,tempo_garantia,timestamp_extracao_detalhada,metodo_extracao_detalhada,tamanho_resposta_bytes,status_resposta_http
MLB37141763,Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB37141763#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB4164477091&sid=search,"R$ 64,22",R$ 71,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB36751629,Cartucho de tinta preta HP Advantage 664 de 2 ml,https://www.mercadolivre.com.br/cartucho-de-tinta-preta-hp-advantage-664-de-2-ml/p/MLB36751629#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB4198173329&sid=search,"R$ 65,73",R$ 78,,Eshop,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB43544566,Cartucho De Tinta Hp 664xl Preto F6v31ab,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-664xl-preto-f6v31ab/p/MLB43544566#polycard_client=search-nordic&search_layout=grid&position=5&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB5575638530&sid=search,"R$ 121,40",R$ 189,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
N/A,Cartucho Tinta Original Hp 664 Preto F6v29ab 2136 2676 3776,https://www.mercadolivre.com.br/cartucho-tinta-original-hp-664-preto-f6v29ab-2136-2676-3776/up/MLBU753315902#polycard_client=search-nordic&search_layout=grid&position=6&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB2671518847&sid=search,"R$ 64,90",N/A,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB36752265,"Cartucho HP 664 Colorido(F6V28AB) Para Ink Advantage 1115, 2134, 2136, 2676, 3636, 3776, 3786, 3788,3790, 3836, 4536, 4676,5076, 5276",https://www.mercadolivre.com.br/cartucho-hp-664-coloridof6v28ab-para-ink-advantage-1115-2134-2136-2676-3636-3776-3786-37883790-3836-4536-46765076-5276/p/MLB36752265#polycard_client=search-nordic&search_layout=grid&position=7&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB5739828170&sid=search,"R$ 61,96",R$ 77,,Mercado Livre,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB48102366,Kit 2 Cartuchos Hp 664xl (preto + Color) 2136 2676,https://www.mercadolivre.com.br/kit-2-cartuchos-hp-664xl-preto-color-2136-2676/p/MLB48102366#polycard_client=search-nordic&search_layout=grid&position=8&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB5466549240&sid=search,"R$ 280,17",R$ 297,,Park Ecom,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB36779932,2 Cartuchos 664 Preto Black Impressora Hp Deskjet,https://www.mercadolivre.com.br/2-cartuchos-664-preto-black-impressora-hp-deskjet/p/MLB36779932#polycard_client=search-nordic&search_layout=grid&position=9&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB4160125791&sid=search,"R$ 128,92",R$ 152,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB36804595,Cartucho De Tinta Hp 664 Cor Preto/tricolor Do 4 Ml,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-664-cor-pretotricolor-do-4-ml/p/MLB36804595#polycard_client=search-nordic&search_layout=grid&position=10&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB4716242508&sid=search,"R$ 156,80",N/A,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB39028582,3 Cartuchos Hp 664xl Preto 2 Color Genuíno,https://www.mercadolivre.com.br/3-cartuchos-hp-664xl-preto-2-color-genuino/p/MLB39028582#polycard_client=search-nordic&search_layout=grid&position=11&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB4973488738&sid=search,"R$ 619,50",N/A,,Park Ecom,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB39028313,Kit 2 Cartuchos Hp 664: 1un Preto + 1un Color,https://www.mercadolivre.com.br/kit-2-cartuchos-hp-664-1un-preto-1un-color/p/MLB39028313#polycard_client=search-nordic&search_layout=grid&position=12&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB5729014430&sid=search,"R$ 134,90",N/A,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB36772792,Cartucho De Tinta Hp 662 Preto Advantage,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-662-preto-advantage/p/MLB36772792#polycard_client=search-nordic&search_layout=grid&position=13&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB3888681729&sid=search,"R$ 64,68",R$ 71,,HP,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB22288344,"Cartucho Hp 664xl Preto 664xl Original Hp Deskjet 1115, 2136",https://www.mercadolivre.com.br/cartucho-hp-664xl-preto-664xl-original-hp-deskjet-1115-2136/p/MLB22288344#polycard_client=search-nordic&search_layout=grid&position=14&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB4115042835&sid=search,R$ 125,R$ 198,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB44336841,Kit Cartucho De Tinta Hp 662 Preto E 622 Colorido,https://www.mercadolivre.com.br/kit-cartucho-de-tinta-hp-662-preto-e-622-colorido/p/MLB44336841#polycard_client=search-nordic&search_layout=grid&position=15&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB5244722402&sid=search,R$ 182,N/A,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB47914809,3 Cartuchos Hp 664xl Preto 1 Color Genuíno,https://www.mercadolivre.com.br/3-cartuchos-hp-664xl-preto-1-color-genuino/p/MLB47914809#polycard_client=search-nordic&search_layout=grid&position=16&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB5350029660&sid=search,"R$ 495,50",N/A,,Park Ecom,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
