id,titulo,link,preco,preco_original,desconto,vendedor,seller_id,reputation_level,power_seller_status,rating_medio,total_reviews,rating_5_estrelas,rating_4_estrelas,rating_3_estrelas,rating_2_estrelas,rating_1_estrela,tem_reviews,reviews_com_texto,reviews_com_imagens,avaliacoes_positivas,avaliacoes_negativas,avaliacoes_neutras,marca,condicao,descricao_produto,caracteristicas_principais,frete_gratis,shipping_mode,tempo_entrega,imagem_url,fotos_produto,product_id,sku,brand,data_coleta,tem_dados_detalhados,qualidade_extracao_detalhada,score_qualidade_detalhes,comentarios_reviews,total_comentarios,comentarios_positivos,comentarios_negativos,comentarios_com_imagens,comentario_mais_curtido,comentario_mais_recente,vendas_loja,vendas_produto,devolucao_gratis,compra_garantida,tempo_garantia,timestamp_extracao_detalhada,metodo_extracao_detalhada,tamanho_resposta_bytes,status_resposta_http
MLB37141763,Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB37141763#polycard_client=search-nordic&search_layout=stack&position=3&type=product&tracking_id=82ea98be-35fe-4950-9526-23c51569c051&wid=MLB4164477091&sid=search,"R$ 64,22",R$ 71,,N/A,,,,4.8,7473,5233,1868,224,74,74,True,0,0,7101,148,224,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T12:32:29.663228,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB36752162,Cartucho De Tinta Hp Tricolor 667,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-tricolor-667/p/MLB36752162#polycard_client=search-nordic&search_layout=stack&position=4&type=product&tracking_id=82ea98be-35fe-4950-9526-23c51569c051&wid=MLB5151394802&sid=search,"R$ 66,15",R$ 77,,N/A,,,,4.7,1665,1168,416,49,16,16,True,0,0,1584,32,49,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T12:32:29.663228,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB39019456,Kit Cartucho Hp 667 Preto E 667 Colorido 2376 2776,https://www.mercadolivre.com.br/kit-cartucho-hp-667-preto-e-667-colorido-2376-2776/p/MLB39019456#polycard_client=search-nordic&search_layout=stack&position=5&type=product&tracking_id=82ea98be-35fe-4950-9526-23c51569c051&wid=MLB4143415521&sid=search,"R$ 142,50",R$ 154,,N/A,,,,4.8,319,225,79,9,3,3,True,0,0,304,6,9,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T12:32:29.663228,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB22658653,Cartucho Hp 667 Colorido 3ym78ab,https://www.mercadolivre.com.br/cartucho-hp-667-colorido-3ym78ab/p/MLB22658653#polycard_client=search-nordic&search_layout=stack&position=6&type=product&tracking_id=82ea98be-35fe-4950-9526-23c51569c051&wid=MLB3897978171&sid=search,"R$ 70,60",N/A,,N/A,,,,4.7,1245,873,311,37,12,12,True,0,0,1184,24,37,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T12:32:29.663228,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
N/A,Kit Cartucho Tinta Original Hp 667 Preto/colorido 2376 2774,https://www.mercadolivre.com.br/kit-cartucho-tinta-original-hp-667-pretocolorido-2376-2774/up/MLBU750370459#polycard_client=search-nordic&search_layout=stack&position=7&type=product&tracking_id=82ea98be-35fe-4950-9526-23c51569c051&wid=MLB2685036387&sid=search,"R$ 143,90",N/A,,N/A,,,,4.7,4460,3124,1115,133,44,44,True,0,0,4239,88,133,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T12:32:29.663228,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB48152766,Kit Cartucho Hp 667 667xl Deskjet 2776 Preto E Color Full,https://www.mercadolivre.com.br/kit-cartucho-hp-667-667xl-deskjet-2776-preto-e-color-full/p/MLB48152766#polycard_client=search-nordic&search_layout=stack&position=8&type=product&tracking_id=82ea98be-35fe-4950-9526-23c51569c051&wid=MLB5370579290&sid=search,"R$ 309,43",N/A,,Park Ecom,,,,4.5,136,96,34,4,1,1,True,0,0,130,2,4,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T12:32:29.663228,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB39018524,Kit 2 Cartuchos Hp 667 Preto P/ 2374 2376 2774 2776,https://www.mercadolivre.com.br/kit-2-cartuchos-hp-667-preto-p-2374-2376-2774-2776/p/MLB39018524#polycard_client=search-nordic&search_layout=stack&position=9&type=product&tracking_id=82ea98be-35fe-4950-9526-23c51569c051&wid=MLB5109186670&sid=search,"R$ 179,80",N/A,,N/A,,,,4.8,111,79,27,3,1,1,True,0,0,106,2,3,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T12:32:29.663228,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB43544566,Cartucho De Tinta Hp 664xl Preto F6v31ab,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-664xl-preto-f6v31ab/p/MLB43544566#polycard_client=search-nordic&search_layout=stack&position=10&type=product&tracking_id=82ea98be-35fe-4950-9526-23c51569c051&wid=MLB5575638530&sid=search,"R$ 121,40",R$ 189,,N/A,,,,4.8,24,18,6,0,0,0,True,0,0,24,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T12:32:29.663228,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB55040541,Cartucho de tinta HP 667 Deskjet Ink Advantage cor preto do 2 mL,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-deskjet-ink-advantage-cor-preto-do-2-ml/p/MLB55040541#polycard_client=search-nordic&search_layout=stack&position=11&type=product&tracking_id=82ea98be-35fe-4950-9526-23c51569c051&wid=MLB5686731398&sid=search,"R$ 77,99",N/A,,Tec Print,,,,4.8,2860,2004,715,85,28,28,True,0,0,2719,56,85,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T12:32:29.663228,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB36751072,Kit Cartucho Hp 664 Preto E Hp 664 Colorido,https://www.mercadolivre.com.br/kit-cartucho-hp-664-preto-e-hp-664-colorido/p/MLB36751072#polycard_client=search-nordic&search_layout=stack&position=12&type=product&tracking_id=82ea98be-35fe-4950-9526-23c51569c051&wid=MLB4020435573&sid=search,"R$ 143,90",N/A,,N/A,,,,4.7,4963,3477,1240,148,49,49,True,0,0,4717,98,148,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T12:32:29.663228,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
