title,link,price,seller,condition,site_code,preco,avaliacao_media,ratio_5_to_1,estrelas_5,estrelas_1
Título não encontrado,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=goRffkbpkwH4c2FvWpaqcaLSIhpWQiBqyaSRRl3t9eKV7qtNJQdIIHQBk5L09PGQLSLwKnVb9HT8mDoCgej5ZZipMaoUGRZixEUWuNBg9IuCZs2NdAZna7vQ5ROXfXzTor9JIdIQCfaow4avNbgGL50uRnYeTJ%2Bcar%2F0f3adGacpqSOpIcK1poDY3UES8ye9wNWj1WWBr9KqklGj0NFZUyD2exeCVdeiQBqm5iYgYPxD3ZXVtad139VE2CSAfIMBa3BDmHgOB9AociZaCgET2XN9VGr5ZMUzLKRETlPJrwjd%2BUXK1%2BD9AErxieOtytsahDgfZ3wCNgkkAnPpueMXqWngbIZSB4N0X%2B5aYMIRvzMvqkzuPoohmuBEdWsZtIrDjaC63I%2BRsPyvl6rW1mCFQEFOq2%2FXwQYN9F%2B08dH5mmmhVv4%2Fdfw4TKVsrdu3PLp%2BvkHWWPhoWF%2B0u9OQwZOx4F7VwBTHpdltKDYTLCcAYBaavtdScbAfcmheW%2BTFzxGHgTJxWRUTbQK5N6hCBRNYaKnQHfb%2B8XclHdVMWedpqaZER6hY16JP6ALeAGnYpd2PzmFZRqcMNrA0JT5UrkL0Qs6iPRTuDBPIGogdRZkCOW%2FlVm1hyQU1UxX7iID8U0ENjzgwZzmswrhYO8PhCqNKg4%2BhP7z2azqeBpaQYu%2FFTdvep3ptJysyeYF3k%2BRAuI9xoJh2t5USGzxQgo5HcSDvDbYuVOFexx7H24Kc%2FS7cNgfbenl3lhAykfF5lW5WIB9EDMlwsYKXRDHNdtR3DZRsKPn7PkHFXA%3D%3D#polycard_client=search-nordic&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&wid=MLB1950809319&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,52,4.6,0,0,0
Título não encontrado,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=UN0R3SnCuZhiEY8iGiCk3ZNwWNuzKYgPFaqrduynkfbDUIN6ZKFyuGFy3HKhn%2BF7oEWxiB0J%2Br7nhSvkmB14Ohqx%2FKCkvRBfuMwlgLBvW30KwMPNX%2B6N4R%2BzGSnHaAGlTH4kwtsegZvM9Yg6gk6jzEBNH1w8pGJTz4vuuszcwNZAX2%2B5AQCfH2fw3I5Y6CWxRdVfGE84P%2BwOh9Gwob5t2aUl66oadIF73EyYbeQr7%2F%2B8Jh6OBIWMfCrfw5nMX0o7fjVH6UuXh21zNC%2FUnHlITT56pOZnzX2IKY8xnYkDoyVOpVG5WCVLl6DrtNH9%2FytUcqglDE82O%2FEesXtd9qAQfPM8u0i53DBun%2B9DZY3LYBpDR3QuHsNfXj7YOUlLPOV2fEehnp1mvG%2BQb8L3vXjy5I17P3ah4Z1e0U6d03aGsJ3V%2BT%2FX8jtN79MPfdyFxnKhxMWQh3hXWbeDgebVnFPhsvOcWccX%2BL1MyW6GwWgp69Fj9YkBy7nR4b335OX43xaWxeQuH4tmY9Smm6GA6lTSi6oTMat5Oov6f%2FCVQsZKaBFW65vg2H1x3RUj0o2NIaWzaI8PpJfOv5kapXsTbf%2FYAWalJkL9TOtsNDTp3o5a8RfRYXUKpuMp1IKA4GLgoqE30qMaw2%2BbbSx1VnyxpJsR%2FlfyT67tBKNT%2BV1%2Bm9hy%2BFAsk5MONQUI26Z1LpC1pCfjNf2Ws1ueqMk7rDesT6dePvwn8pERW8t7VuP30Bfbnebm8nd6I3AFX%2B759zkyc2ag6ow3h%2FN6U56GpoIYURda6BWlQs4JaA%3D%3D#polycard_client=search-nordic&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&wid=MLB5163093844&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,53,4.6,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/kit-4-cartucho-compativel-670xl-advantag-3525-4615-4625-5525/p/MLB24113448#polycard_client=search-nordic&searchVariation=MLB24113448&wid=MLB3738573695&position=7&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,41,4.7,0,0,0
Título não encontrado,https://produto.mercadolivre.com.br/MLB-5368986674-recarga-cartucho-para-hp-impressora-2874-2774-2776-667-667xl-_JM#polycard_client=search-nordic&position=44&search_layout=grid&type=item&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&wid=MLB5368986674&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,46,0.0,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/cartucho-hp-954xl-amarelo-l0s68ab-20ml/p/MLB36750339#polycard_client=search-nordic&searchVariation=MLB36750339&wid=MLB3776108935&position=13&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,249,4.9,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/recarga-cartucho-compativel-impressora-hp-2874-2774-2676-2700-3516-2050-cartuchos-667-664-662-901-60-92-74-canon-mg-2410-2910-3510-3010-44-54-140-141-145-146-210-211-kit-com-60ml-de-tinta-de-cada-cor/p/MLB44668909#polycard_client=search-nordic&searchVariation=MLB44668909&wid=MLB3931886447&position=18&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,46,4.5,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/cartucho-de-tinta-preta-hp-advantage-664-de-2-ml/p/MLB36751629#polycard_client=search-nordic&searchVariation=MLB36751629&wid=MLB3866554217&position=27&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,66,4.7,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/kit-recarga-cartucho-impressora-compativel-hp-2774-2874-cartuchos-667-667xl-tinta-inkcor-acompanha-manual-de-instrucoes-com-acesso-a-videos-tutoriais-completos-e-exclusivos/p/MLB44668607#polycard_client=search-nordic&searchVariation=MLB44668607&wid=MLB5219028986&position=34&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,59,4.5,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB37141763#polycard_client=search-nordic&searchVariation=MLB37141763&wid=MLB4032345907&position=4&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,59,4.8,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/refil-de-tinta-recarga-de-cartucho-compativel-impressora-hp-2874-2774-2676-2050-f4480-f4180-3516-3050-3636-2800-2700-2600-3600-2775-cartuchos-60-901-667-664-662-92-74-cor-preta-tintas-inkcor-com-500ml/p/MLB48943976#polycard_client=search-nordic&searchVariation=MLB48943976&wid=MLB5370580964&position=9&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,45,0.0,0,0,0
