title,link,price,seller,condition,site_code,total_avaliacoes,preco,avaliacao_media,estrelas_5,estrelas_4,estrelas_3,estrelas_2,estrelas_1,porcentagem_5_estrelas,porcentagem_4_estrelas,porcentagem_3_estrelas,porcentagem_2_estrelas,porcentagem_1_estrela,ratio_5_to_1
Título não encontrado,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=IWlt0ROnJlGPEZ%2BdzJm8YpCa%2Btm1m3G9RaC4IEcTB0Kwk%2BOC%2BI%2FkMKU6enduOK8hUq7WL2Lb4rUA20M5YggZStzS20ujpobHNSVRPZ80TmT%2BHFu1EYF7817oRTA3iXP1iFN3iPQMDoeHgE9wFk3%2F5TmT1BdAw3rt2k7Qh0d3s4wpLOXI%2F3Ua%2FZLqp3JZckgdsKsEkQaQ72qkbL4tBMOEltMjnK%2BWa%2FmCiedqZIq2hmkdXdDzYonnONifOG4wOm%2FvR%2BwTxfgZ3qbh%2FCjgy6QMRQHSUouFN%2B4gUUhfxDTBYzu%2FwloyjE6ukfb5Buhe2BFA1NkRy07FVvWbjEJFlIQ6L6D0Uo4LHvkTxo7Y3hJAw8%2BnXSAkyi3zOMHxVlcYadzl%2F%2BDHxO8Wuw2fnemHTYORQstZrLeHzplIlbMk6RExXH%2Frk61EkOpvuSWAytxmKN9UrY8pLH4nSrlPJkDOvYa8FI1LgpXkZSwZyrJFQGkihfmbDphYlZL5rXuwM%2B11QWccflzxR%2BWB4aAQq5njrEob95iaccT19OVB9Ibw3o7NXfWKeuHwKaPTvsrpCCkG9d1Jtbc9xx%2Bsye%2FWHncxfckQC0FWvwFvBMDS6%2F751WUgXPJGmA90pZZWOQfXbkw50lNAKfMQ7QcasM6CLke2v0CklLjuKN%2FkGB9Sh2ZuUXlMQ2AETvgOVRRX3h49PPLl12RbyytQxXzADnivBbNzEkBGH55FhtURbqGMKGhbbm5GS8413KsySsScPfgiNA93VDiVLGFLABB9875tlQwFr5Q%2Fo3uKNH%2F%2BZg%3D%3D#polycard_client=search-nordic&tracking_id=9f9cd683-bbfe-463a-80c9-aa948f65c700&wid=MLB1950809319&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,254,52,0,205,28,9,1,11,80.71,11.02,3.54,0.39,4.33,18.636363636363637
Título não encontrado,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=2sDusf%2BIXR2gK6Tm8VaazlKnGULWY7hAObv6ROawSMK%2FP0lln8GHSNEkPM0zMj3fs%2B4W%2FEMIm9cvMF96z1oJqYk8LpnqB0z8G6lH8iYCFyQylU3PSP%2BIWXF%2FziItmTTRNLx3wiwZvhbKQK%2BGnvr%2FuhYr4uPMChY%2FL%2Bb21DX61aedkWkb9aeFdMOXa75IRedKIzhPThglfwzfKhiUMVISsUq77vGqqcUOEEqSjqkoiOOiKRtWbSFtiYoALwAYA8JBflRqbIpu5tcS2qdYj8HRw7MpTQRJiw5ysb91Y8YIGorBoiQzMt75K3JBCkMQLS2hgoOOT%2B7aed%2FJxRw7e3nVNF%2Bm%2F9jB8U7ejnp6jndfaeFd0ewuH0LjofFTWeMSSnJHEfQ45lYhNTZb%2FBVCdn35%2BQQK3McIyhIxRQsKLRx68YJsRfNDwHbWdS6bpnBPbZ%2Fo94yhBjXyChCAW6Lkl97awY8BaLFL%2FCs8RBfV8hDL8kyeivJtjlzhi7%2Fp%2Bxt1vW%2B%2BTBO6G2RTQsCjnJ9tvehZxGialsKxFSfeG3cHDDaOsuHPIoI36q5xgWaWC1A8KH6A%2BQSt6R0%2FFzu%2Fo25NqeFJbSkQjpQqDF8POPznXG9YAqXCDDOQpG58RKK7OjlGxo%2FDwwgKGsPBRTbBphRJ5hJUCTcTF13H9LIavV1DXHV2oT9OhjSnwCpNRvp3FAT%2Be5LWSJ52607qcXyu%2B0yTYacLNQA7SWQ0TO2NEWmUvylq42G9fVRtMoywclf1eeEEW29wHiGpIAgDcG5I48f7QYue%2BByytBsNTQ%3D%3D#polycard_client=search-nordic&tracking_id=9f9cd683-bbfe-463a-80c9-aa948f65c700&wid=MLB5163093844&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,115,53,0,89,15,7,0,4,77.39,13.04,6.09,0.0,3.48,22.25
Título não encontrado,https://www.mercadolivre.com.br/kit-4-cartucho-compativel-670xl-advantag-3525-4615-4625-5525/p/MLB24113448#polycard_client=search-nordic&searchVariation=MLB24113448&wid=MLB3738573695&position=4&search_layout=grid&type=product&tracking_id=9f9cd683-bbfe-463a-80c9-aa948f65c700&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,164,41,0,131,19,10,2,2,79.88,11.59,6.1,1.22,1.22,65.5
Título não encontrado,https://www.mercadolivre.com.br/recarga-cartucho-compativel-impressora-hp-2874-2774-2676-2700-3516-2050-cartuchos-667-664-662-901-60-92-74-canon-mg-2410-2910-3510-3010-44-54-140-141-145-146-210-211-kit-com-60ml-de-tinta-de-cada-cor/p/MLB44668909#polycard_client=search-nordic&searchVariation=MLB44668909&wid=MLB3931902033&position=5&search_layout=grid&type=product&tracking_id=9f9cd683-bbfe-463a-80c9-aa948f65c700&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,42,46,0,34,4,0,0,4,80.95,9.52,0.0,0.0,9.52,8.5
Título não encontrado,https://www.mercadolivre.com.br/cartucho-hp-954xl-amarelo-l0s68ab-20ml/p/MLB36750339#polycard_client=search-nordic&searchVariation=MLB36750339&wid=MLB3776108935&position=6&search_layout=grid&type=product&tracking_id=9f9cd683-bbfe-463a-80c9-aa948f65c700&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,19,249,0,17,2,0,0,0,89.47,10.53,0.0,0.0,0.0,inf
Título não encontrado,https://produto.mercadolivre.com.br/MLB-5368986674-recarga-cartucho-para-hp-impressora-2874-2774-2776-667-667xl-_JM#polycard_client=search-nordic&position=44&search_layout=grid&type=item&tracking_id=9f9cd683-bbfe-463a-80c9-aa948f65c700&wid=MLB5368986674&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,0,46,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Título não encontrado,https://www.mercadolivre.com.br/cartucho-de-tinta-preta-hp-advantage-664-de-2-ml/p/MLB36751629#polycard_client=search-nordic&searchVariation=MLB36751629&wid=MLB3866554217&position=7&search_layout=grid&type=product&tracking_id=9f9cd683-bbfe-463a-80c9-aa948f65c700&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,2,66,0,2,0,0,0,0,86.92,7.16,2.09,0.64,3.19,inf
Título não encontrado,https://www.mercadolivre.com.br/kit-recarga-cartucho-impressora-compativel-hp-2774-2874-cartuchos-667-667xl-tinta-inkcor-acompanha-manual-de-instrucoes-com-acesso-a-videos-tutoriais-completos-e-exclusivos/p/MLB44668607#polycard_client=search-nordic&searchVariation=MLB44668607&wid=MLB5219028986&position=8&search_layout=grid&type=product&tracking_id=9f9cd683-bbfe-463a-80c9-aa948f65c700&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,21,59,0,16,2,1,1,1,76.19,9.52,4.76,4.76,4.76,16.0
Título não encontrado,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB37141763#polycard_client=search-nordic&searchVariation=MLB37141763&wid=MLB4032345907&position=9&search_layout=grid&type=product&tracking_id=9f9cd683-bbfe-463a-80c9-aa948f65c700&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,3,59,0,3,0,0,0,0,86.88,7.3,2.61,0.69,2.51,inf
Título não encontrado,https://www.mercadolivre.com.br/refil-de-tinta-recarga-de-cartucho-compativel-impressora-hp-2874-2774-2676-2050-f4480-f4180-3516-3050-3636-2800-2700-2600-3600-2775-cartuchos-60-901-667-664-662-92-74-cor-preta-tintas-inkcor-com-500ml/p/MLB48943976#polycard_client=search-nordic&searchVariation=MLB48943976&wid=MLB5370580964&position=10&search_layout=grid&type=product&tracking_id=9f9cd683-bbfe-463a-80c9-aa948f65c700&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,0,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
