index,title,preco,condicao,vendedor_nome,vendedor_avaliacao,avaliacao_media,total_avaliacoes,site_code,estrelas_5,estrelas_4,estrelas_3,estrelas_2,estrelas_1,porcentagem_5_estrelas,porcentagem_4_estrelas,porcentagem_3_estrelas,porcentagem_2_estrelas,porcentagem_1_estrela,ratio_5_to_1,link
1,Gwj 3 Peças Nicron N1 Lanterna De Bolso Chaveiro Lâmpada Led,"R$ 122,71",Novo,CNXUANYIBRR,+100Vendas concluídas,"0,0",,MLB,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0",https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=qqypcLPE2qXrevJNtGgocD6sVy%2Ft5kDAMHIpd4KGn8TRWj15DwZFRrFXB0gaI8Bm2POW14bWUoHvRPmAE0kz8n%2FpybmWUK%2FuNh7feDv6xO%2FZBcRUfJWlRIJf0Qd58318EJ%2Bzoq0atVR%2BFw8IIWy4MNKUbfh0mhjUExMEiZoR3aj6%2BJdKjtL6xnfRnCTo29zw9RBuqgiwSN8NY6w80JWf7OVKrwG3j%2F5dBLzlyaHDwp9R8p5Wk1YK0laA%2BVEox6Cn649t4HrwP9T4l2uYDWIia3ldpkO931sYJqLCiXrdt%2F%2B5wzIqtbJ0NLS67ILTl%2Bh99bj%2B0yWG3td4S%2FE%2Fn%2Bxh6VpMHp2Yox%2B3lslvweIeCQVHPrQMmC%2F3GUFOVVezQG21qauzXSFEN9eqf3YCLpcWW7vfbIPDPMzqe5o9Kbl5SFVY5a38bY7mb55q5SMIQbMYutCkWIOoW2b9nc7khQqvV8JiWkYMFb7JXbci6%2FqrW49zjWjGA6a98NX4gZo5A2s4sY%2FsPKxrmRaGs%2FReKuabZ8w3dDw4LYe4WbjP2Y7BAN59IHws3W5GsZiDudtVg%2BEJBglN1fQJbjsUckOsAMmZJzOnOVI5tj3enCaI9GP12G9oljjHXtDg0oKgVQHh%2Fvo85JDxJUlPcWwe5J1oODVvGyWbk3%2F2ENzmaW2BZZY%2FasxrltXfYkyIFYcaCiIH4C2A4jJAz63DoAaZPcdHQylVvuzaTzCM%2BeBILsq0Yzfj0zbAp8t%2FwzF5es1GmbrydQGUfKVhvJ1oekSnnMi95chL%2BGk2T2aNIkDNcyUar%2BqZmFrAq%2BIe2pz2vpJQwqu8RHK5FP4Anhs1cF22ha%2BLyfLvGX0OtqXbv6JCLeeGlMsgakoKpWf%2BT%2BWc%2F3gGMJk%3D&searchVariation=183094538284#polycard_client=search-nordic&tracking_id=2a916250-e424-46f4-8445-e6d7f577f179
2,Lanterna Led Tatica Recarregável Shadowhawk Original C/ Zoom,"R$ 74,95",Novo  |  +5mil vendidos,PODIUM PARTS,+10milVendas concluídas,"4,5","669,0",MLB,502,74,43,14,36,"75,0","11,1","6,4","2,1","5,4","13,9",https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=B5ILC9bFb3u5nha%2BTHMRzh2LoAu0GgPE9oDdNYnELhZw9sJ4ESgyqtmQVmsqWB2B8aGn9wBTryRnXi7n8c9cA3sLi4cM0jsnC8bi0uyn1VP%2Bl5BxKrcmzqH%2FDVhAeMNhz%2BlkO9LXMmiF0TiEzjJK%2BhXchGbt82KCJ2KUJojBpsr%2F2HDf1cy15FenEWpS1N%2FYm0PYCOYGTbnGbWg2OCfiNFlL2OCcuqcmBmYXrV%2FTml3SbyuIdYI8%2FuW5s85J4xywqZSRz1w9%2BKUEupfDGAvLgM2Uk8LpewAsJMUXYrO0CBsRUfbfey%2BIeAhqxjStJ0dj5PrFBRXPYblnC3Y2WLLM2ZLmvoPRJNadfta2WifgqP6EEHcH05ryOinUXjZaIwT3XhZkF435u08wb7Na0bfQpT6%2BZYcF4DulDE%2F2ytJmz0Ic%2F%2FW0wO%2FPuRSBOmjTFpPD0%2Ft29rzG5EphIkouYnLNE3X0z%2FbIr8HU1vju6i4quZRvbaktQdMeZsDvlfCu1Uj%2FxT%2F0T3yAmcXh6%2BbQiQ4vhW81X71cVtYJVaE3KWuEttSrRjMfp6PlUU2ScSVRMBgP5CwLaBhJ2epp3dkegy4tucqblj2Lks9KWXIlhp1UkZG6eNKLRIGYZ7UMIa5BpvRqhLHpIwiktIcvaJ3e%2B4lRmJkf0LTFhxWa9ujfCaLURbiG9NWJi7DDU%2BVyKL8UJdt%2BUM4zjHb6I4ug72pFc20fXNPjdJ8sRTRQT%2FDIBPAKo3f6O60JL39Nxs4eKLHF4aJynl%2FTS%2Bfs%2BVjaHVpTRuEtOcI%2Fi4z0ItirpurNx0LPuvnSET%2FH8p51rOdNTAQEyn0pNAZbwqvocxnAoBhiqN1OYoICiqS39nbfq3S0V09YEvEaq9Ns5V0F&searchVariation=174963913811#polycard_client=search-nordic&tracking_id=2a916250-e424-46f4-8445-e6d7f577f179
3,"/ Lanterna Led Nicron, Viva-voz, Duplo Combustível, D-turn","R$ 157,14",Novo  |  1 vendido,Vendido porsuper Cerca,Avaliação não disponível,"0,0",,MLB,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0",https://www.mercadolivre.com.br/-lanterna-led-nicron-viva-voz-duplo-combustivel-d-turn/p/MLB2005747338#polycard_client=search-nordic&searchVariation=MLB2005747338&wid=MLB3864693213&position=4&search_layout=grid&type=product&tracking_id=2a916250-e424-46f4-8445-e6d7f577f179&sid=search
4,Luz De Trabalho Lanterna Pocket Cob Magnetic Base Work Light,"R$ 291,50",Novo,CLUB ENVIOS - Miami,+10milVendas concluídas,"0,0",,MLB,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0",https://produto.mercadolivre.com.br/MLB-4802799496-luz-de-trabalho-lanterna-pocket-cob-magnetic-base-work-light-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=2a916250-e424-46f4-8445-e6d7f577f179
5,Gwj 3 Peças Nicron N1 Lanterna De Bolso Chaveiro Lâmpada Led,"R$ 122,71",Novo,CNXUANYIBRR,+100Vendas concluídas,"0,0",,MLB,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0",https://produto.mercadolivre.com.br/MLB-5312444744-gwj-3-pecas-nicron-n1-lanterna-de-bolso-chaveiro-lmpada-led-_JM?searchVariation=183094538284#polycard_client=search-nordic&searchVariation=183094538284&position=5&search_layout=grid&type=item&tracking_id=2a916250-e424-46f4-8445-e6d7f577f179
6,Lanterna Ultravioleta Uv Nicron B74uv Luz Negra Led La,"R$ 238,91",Novo  |  1 vendido,VOGUISHBR,+100Vendas concluídas,"0,0",,MLB,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0",https://produto.mercadolivre.com.br/MLB-5090998256-lanterna-ultravioleta-uv-nicron-b74uv-luz-negra-led-la-_JM#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=2a916250-e424-46f4-8445-e6d7f577f179
7,N Nicron B74uv Ultraviolet Uv Flashlight Black Light Led La,R$ 117,Novo,Vendedor não identificado,Avaliação não disponível,"0,0",,MLB,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0",https://www.mercadolivre.com.br/n-nicron-b74uv-ultraviolet-uv-flashlight-black-light-led-la/p/MLB2002324548#polycard_client=search-nordic&searchVariation=MLB2002324548&position=50&search_layout=grid&type=product&tracking_id=2a916250-e424-46f4-8445-e6d7f577f179&wid=&sid=search
8,Lanterna De Cabeça 12 Leds Recarregável Dp 722b Caça Pesca,"R$ 39,92",Novo  |  +1000 vendidos,PR VARIEDADES,MercadoLíder Gold,"4,6","456,0",MLB,361,56,19,5,15,"79,2","12,3","4,2","1,1","3,3","24,1",https://produto.mercadolivre.com.br/MLB-1132855415-lanterna-de-cabeca-12-leds-recarregavel-dp-722b-caca-pesca-_JM#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=2a916250-e424-46f4-8445-e6d7f577f179&wid=MLB1132855415&sid=search
9,Mini Lanterna Xp-1 - Cree Led - Aaa Ideal Para Edc,"R$ 39,99",Novo  |  +1000 vendidos,AMARCELUS,+10milVendas concluídas,"4,7","271,0",MLB,211,39,13,5,3,"77,9","14,4","4,8","1,9","1,1","70,3",https://produto.mercadolivre.com.br/MLB-784861875-mini-lanterna-xp-1-cree-led-aaa-ideal-para-edc-_JM?searchVariation=77499393217#polycard_client=search-nordic&searchVariation=77499393217&position=8&search_layout=grid&type=item&tracking_id=2a916250-e424-46f4-8445-e6d7f577f179
10,Mini Lanterna Lanterna Médico Clinica Caneta Lanterna M8,"R$ 37,98",Novo  |  +1000 vendidos,TRINCA IMPORTS,MercadoLíder Platinum,"4,6","122,0",MLB,95,14,7,3,3,"77,9","11,5","5,7","2,5","2,5","31,7",https://produto.mercadolivre.com.br/MLB-948234707-mini-lanterna-lanterna-medico-clinica-caneta-lanterna-m8-_JM?searchVariation=25902319302#polycard_client=search-nordic&searchVariation=25902319302&position=9&search_layout=grid&type=item&tracking_id=2a916250-e424-46f4-8445-e6d7f577f179
