titulo,link,preco,vendedor,frete,site
Título não encontrado,https://publicidade.mercadolivre.com.br,52,Vendedor não identificado,Frete não informado,MLB
Título não encontrado,https://publicidade.mercadolivre.com.br,53,Vendedor não identificado,Frete não informado,MLB
Título não encontrado,https://www.mercadolivre.com.br/kit-4-cartucho-compativel-670xl-advantag-3525-4615-4625-5525/p/MLB24113448#polycard_client=search-nordic&searchVariation=MLB24113448&wid=MLB3738573695&position=8&search_layout=grid&type=product&tracking_id=17fab2be-2e3a-4cf3-88f4-2a1e6feebee2&sid=search,41,Vendedor não identificado,Frete não informado,MLB
Título não encontrado,https://produto.mercadolivre.com.br/MLB-5368986674-recarga-cartucho-para-hp-impressora-2874-2774-2776-667-667xl-_JM#polycard_client=search-nordic&position=44&search_layout=grid&type=item&tracking_id=17fab2be-2e3a-4cf3-88f4-2a1e6feebee2&wid=MLB5368986674&sid=search,46,Vendedor não identificado,Frete não informado,MLB
Título não encontrado,https://www.mercadolivre.com.br/cartucho-hp-954xl-amarelo-l0s68ab-20ml/p/MLB36750339#polycard_client=search-nordic&searchVariation=MLB36750339&wid=MLB3776108935&position=13&search_layout=grid&type=product&tracking_id=17fab2be-2e3a-4cf3-88f4-2a1e6feebee2&sid=search,249,Vendedor não identificado,Frete não informado,MLB
Título não encontrado,https://www.mercadolivre.com.br/recarga-cartucho-compativel-impressora-hp-2874-2774-2676-2700-3516-2050-cartuchos-667-664-662-901-60-92-74-canon-mg-2410-2910-3510-3010-44-54-140-141-145-146-210-211-kit-com-60ml-de-tinta-de-cada-cor/p/MLB44668909#polycard_client=search-nordic&searchVariation=MLB44668909&wid=MLB3931886447&position=9&search_layout=grid&type=product&tracking_id=17fab2be-2e3a-4cf3-88f4-2a1e6feebee2&sid=search,46,Vendedor não identificado,Frete não informado,MLB
Título não encontrado,https://www.mercadolivre.com.br/cartucho-de-tinta-preta-hp-advantage-664-de-2-ml/p/MLB36751629#polycard_client=search-nordic&searchVariation=MLB36751629&wid=MLB3866554217&position=5&search_layout=grid&type=product&tracking_id=17fab2be-2e3a-4cf3-88f4-2a1e6feebee2&sid=search,66,Vendedor não identificado,Frete não informado,MLB
Título não encontrado,https://www.mercadolivre.com.br/kit-recarga-cartucho-impressora-compativel-hp-2774-2874-cartuchos-667-667xl-tinta-inkcor-acompanha-manual-de-instrucoes-com-acesso-a-videos-tutoriais-completos-e-exclusivos/p/MLB44668607#polycard_client=search-nordic&searchVariation=MLB44668607&wid=MLB5219028986&position=7&search_layout=grid&type=product&tracking_id=17fab2be-2e3a-4cf3-88f4-2a1e6feebee2&sid=search,59,Vendedor não identificado,Frete não informado,MLB
Título não encontrado,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB37141763#polycard_client=search-nordic&searchVariation=MLB37141763&wid=MLB4032345907&position=3&search_layout=grid&type=product&tracking_id=17fab2be-2e3a-4cf3-88f4-2a1e6feebee2&sid=search,59,Vendedor não identificado,Frete não informado,MLB
Título não encontrado,https://www.mercadolivre.com.br/refil-de-tinta-recarga-de-cartucho-compativel-impressora-hp-2874-2774-2676-2050-f4480-f4180-3516-3050-3636-2800-2700-2600-3600-2775-cartuchos-60-901-667-664-662-92-74-cor-preta-tintas-inkcor-com-500ml/p/MLB48943976#polycard_client=search-nordic&searchVariation=MLB48943976&wid=MLB5370580964&position=6&search_layout=grid&type=product&tracking_id=17fab2be-2e3a-4cf3-88f4-2a1e6feebee2&sid=search,45,Vendedor não identificado,Frete não informado,MLB
