title,link,price,seller,condition,site_code,pagina,lote
Título não encontrado,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=lmN1MvWoz72miwxAgrjUtdUR29YNZJLrGmV6454Ts%2BV%2Fh8TGFV866IkHYDvreGPS99WuOqIk9rWDa8mGGK1hjeoHjlD6rvbbNgpdv%2BwG7JZignFH1X3zsNvmXGnbA6YGdr%2FEAZjQeMuEdnR5fz%2Fse1eeV1vhTeYHY995gmYgF2u%2FU%2BiRwDzHsoRJvNgXZpJqsjqmuV4d4y96gHV%2B0mqdg8CZAHJelzh8ru3Fx2VFVXb6LonGWpc2PtlyJcpUkoSM3naZ4eitd9ewbdfrITfPACRvF1SOfsyR85OkHxpd16BBdblGWg5SWkTY001CQ4noothH09dJXl5vaKdkEao7Kn9OSsnDfo1zaM1iQBJHNhZzDSyAhvDHsA9pcLJjpeG6OlWkZ0jNbh5YXtD8r4Dhvc%2B5eIGLu2KuWK6O%2B8zLq8mDuH%2BZMPsaDsl%2FZTZGUL%2FCPlOQHPMPziH%2FD%2FjIma3Di1mPFomxj5xUh4mJl7fTSMm10o6mdsDvo0gKFhjbR3HLVDCmx1gPNWuSjz3aVJHIO0uwb8iALzZArRdzvCoz1dUhO%2B8dHKNgoanJJfvUzLD%2FwviNHr1%2FOq8xvBINi%2FppiuVZURPxYLxiF3sYwfzhkjgoR6Fcz1Ka8CGgPY3iV1XjQM2ZYqclq3HRUqypHU92xNMpLtZeLA0iWMe1xl9%2FgnrldoQhCUzUnFEI3836Vn8MwpjNSF9QzUOHGQSR7ht5oCli%2FWa%2FeGOQOlZ0akRntcleoYRpgU4TMneAJNSPTqw0XD8uM8i0rtevV5pGI%2B%2BoUuABHaVCg%2F2XQE0D23fXAIdaCpgFqVsy4PB%2BYYbtpmLtap6%2BJBdJpq0Gkxm64hWp6udC%2BqOEgeYbOzcFabcFcmNJWnyy9qGsMw%3D%3D&searchVariation=184022220277#polycard_client=search-nordic&tracking_id=0cb1cfe2-2892-4291-9fdb-d09b4bfaf603,"em 12x R$5,20",Vendedor não especificado,Não especificado,MLB,10,10
Título não encontrado,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=yg8QnLzfHqBZi7B4EskPESb%2FHE%2BXBvVpZ%2Bx2Z3%2B09OYkuUeEVaN6AAdYlzlr8vTlWxZGK5RCT%2BMoEG2smI1baXF19O%2B%2FdQRBJ%2Fj0mGsSRIYeaJr6IMiyUQNJcsEwUptQI498Cihqo3TuweeX2nF6qbOD%2Fbn%2FDmyF2KuksIKXNtevMyPW11106M%2BzbriAxRiS5%2BDRHAim9QUbeDFKMMu6zvu2aVEWrfGmxsgceL0opUuxaB5dT%2FCrtLjkGeYWRHTP1etGBJPWFb8BSTVmSrwXFSIrG3CV2aO%2B9JDfwYpuqd9E0adtMOst6VWrh%2FtPP%2Fmn8PtxJNOGEZ0H%2F3Hzk%2FQ4%2B85w4WLOabkBbUpzhS5iuiXYf14rQwte88sfsODrfUiDR1VcYswVrBTl7n6evz2XTHTRughy8700xVD5%2BD4yhNtnJJQNSCfefj0dKx6HF9oMBr8svbXS2MQSLkNI%2Bo4NqAgKm6aJ6GS7gEKSAf2M0uQwZWl8jxhF2iMudwrifSIw6Lp%2FTcJfIZ73N4oDiQDKIo18FJeX0JQbAAqDgbG4KqdTxmG3J3cF6VRgPRyy6AdNcmHgAJR0NvIuWuzFVBxJUsf99TgAg56xdy2p5IBZSzUaY9zqL3gO9dOqlSM1xJxiXsHCoK%2FRPeckdjzhacKGPflMdyAbWp9FOKwSN5PL4JzE30Ta%2FPa7IwPoEjGbL0U0fVUJL%2B0ASW734HMNlo%2BvAqMK5IwI%2FR8dlMC4Lk%2BDRGO8SMhBIP6MJGhpATKXpd0REF8PLFcfGZNx4Su4SU8c7d%2BpyJb9D2Dly35Gx3fll1tNCOVDUGCwcCUbdgOnTcH1Mv6wMtJ8BOz0tiZLdIsiXLaGS7W2RcQ4S3a0XA7ZIFTsN%2BbSU312&searchVariation=187062495333#polycard_client=search-nordic&tracking_id=0cb1cfe2-2892-4291-9fdb-d09b4bfaf603,"em 12x R$4,79",Vendedor não especificado,Não especificado,MLB,10,10
Título não encontrado,https://www.mercadolivre.com.br/garrafa-termica-bule-gatilho-cafe-agua-500ml-pequena-vintage-cor-branco/p/MLB22333011?searchVariation=MLB22333011#polycard_client=search-nordic&searchVariation=MLB22333011&wid=MLB5356527494&position=4&search_layout=grid&type=product&tracking_id=0cb1cfe2-2892-4291-9fdb-d09b4bfaf603&sid=search,"em 12x R$3,16",Vendedor não especificado,Não especificado,MLB,10,10
Título não encontrado,https://produto.mercadolivre.com.br/MLB-4609135388-garrafa-termica-de-agua-cafe-inox-com-termmetro-digital-sm-cor-azul-escuro-_JM#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=0cb1cfe2-2892-4291-9fdb-d09b4bfaf603&wid=MLB4609135388&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,10,10
Título não encontrado,https://produto.mercadolivre.com.br/MLB-4020152207-botijo-termico-75-litros-gp-inox-_JM?searchVariation=187397933207#polycard_client=search-nordic&searchVariation=187397933207&position=33&search_layout=grid&type=item&tracking_id=0cb1cfe2-2892-4291-9fdb-d09b4bfaf603,"em 6x R$56,67 sem juros",Vendedor não especificado,Não especificado,MLB,10,10
Título não encontrado,https://produto.mercadolivre.com.br/MLB-4025369897-garrafa-termica-inox-500ml-agua-quente-gelada-10h-_JM?searchVariation=183301082870#polycard_client=search-nordic&searchVariation=183301082870&position=34&search_layout=grid&type=item&tracking_id=0cb1cfe2-2892-4291-9fdb-d09b4bfaf603,"em 12x R$4,64",Vendedor não especificado,Não especificado,MLB,10,10
Título não encontrado,https://www.mercadolivre.com.br/garrafa-termica-500ml-inteligente-em-aco-inox-cor-preta/p/MLB28822784?searchVariation=MLB28822784#polycard_client=search-nordic&searchVariation=MLB28822784&wid=MLB3992374545&position=3&search_layout=grid&type=product&tracking_id=0cb1cfe2-2892-4291-9fdb-d09b4bfaf603&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,10,10
Título não encontrado,https://www.mercadolivre.com.br/garrafa-termica-de-inox-1l-cafe-cha-quente-frio/up/MLBU3118881881?searchVariation=MLBU3118881881#polycard_client=search-nordic&searchVariation=MLBU3118881881&wid=MLB4030845807&position=6&search_layout=grid&type=product&tracking_id=0cb1cfe2-2892-4291-9fdb-d09b4bfaf603&sid=search,"em 12x R$8,81",Vendedor não especificado,Não especificado,MLB,10,10
Título não encontrado,https://produto.mercadolivre.com.br/MLB-4020499659-garrafa-termica-premium-cafe-cha-leite-1l-cabo-de-madeira-_JM?searchVariation=183266759478#polycard_client=search-nordic&searchVariation=183266759478&position=35&search_layout=grid&type=item&tracking_id=0cb1cfe2-2892-4291-9fdb-d09b4bfaf603,"em 12x R$5,87",Vendedor não especificado,Não especificado,MLB,10,10
Título não encontrado,https://www.mercadolivre.com.br/garrafa-termica-100-inox-25l-madri-unitermi-quente-e-frio/p/MLB29566724?searchVariation=MLB29566724#polycard_client=search-nordic&searchVariation=MLB29566724&wid=MLB4035565549&position=10&search_layout=grid&type=product&tracking_id=0cb1cfe2-2892-4291-9fdb-d09b4bfaf603&sid=search,"em 12x R$12,66",Vendedor não especificado,Não especificado,MLB,10,10
