TITULO PRODUTO,LINK,PREÇO,PREÇO ANTERIOR,MARCA,VENDEDOR,MÉDIA AVALIAÇÕES,TOTAL AVALIAÇÕES,ENTREGA,ENTREGA FULL,OBJECT_ID
Kit Cabeça Ink Tank 5820 5822 430 416 M0h50a M0h51a Flex,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=UZR6gN01pCW7OTNJY%2BZtNjRWZVq7wPpX7lEjdQlXCX6Sl5dwyb7I%2FtOQk%2FkWbldT0%2FChaCJ%2FJ7Pr4MWqA4MOJHr3WCGV%2F%2BVuT0PXh%2Bw7Okx2QB%2BT7N%2Bvv7ABCxgni%2BI9uXi9hBFnEfYKnaVYacbiwANYXLjl1peJIefe3riOO77btzc2ojUk%2Br1jH0w9I4hQ0r4Z3OSwOfZ9NtmZm2ePXXkWzXJP3GW%2FNYWub%2FpkuQu5cC16x9zxfr7NJK4XpDTwxRzsqzMp1xyYTrQ7O9teH5D9CtWU%2BnP2cPX8wZkdQ6cZa2%2BSjZq4RCCJjpgWS%2B0vtLOxw5ySYoCAHOUhp%2FWKjpre1%2F8xo4uxfGs%2Bwf2VzzoGw1W66bkd62fKLtr2IyhaBJnU%2FJBV39GM71F6SsQ8VDfMB6%2FqMX4qG7O61GhhAPDittv2FOabfPFlF58bmbjjWVmhYXkMMPA1u8k1hSUre2HOFQUsofa%2BJC%2BjAANkkm2hGLx9brUmlGeBAqrz7SCYzIUNvPh2Oa%2F2ax2T1FYTOjJLc1P6Pqo8HYAAf6D1VW4gF3bPFcSdF0ZvzERlzUbr5NFR003TCRaPhWid97AYvkwqFEFBCAbqljRuRPQZ51yxw80lnGZYaLIfE%2Fyy56%2Fr%2BnXrq943Las35Id1%2Fm7YHkzz6kpUYHJb4%2Fr1mv27ykkDf97blFWG%2BYPxFXrvYjB%2FgRyDZPf6IX82K8%2FDcdCspWDUMdZKrhXM7I2nV48BPwNKqqj5ltQQUXrWFuQVh2RQ2k%2Fk0DLrhajD0HbbziyG8d1E69%2FqDw%3D%3D#polycard_client=search-nordic&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&wid=MLB2737026014&sid=search,R$ 344,R$ 369,N/A,N/A,N/A,N/A,N/A,Não,MLB2737026014
Cartucho Hp 122 Preto Original Ch561hb - 1000 2050 3050 2000,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=k6JJW6P7PycA5Kwnz1GgqbVi8BByPG%2BNzKkkHkI8Zx9mwVmnsAmzWEpFSz5T%2FUv7Yx07%2FOdM5Br6Fg3N2DDr9P8nAZG9aVJLgJp7srVPpEPNYZClwn%2FwCoX6U%2B%2FJkExleSgFvdDqJuohomvVhhmPj8JAuEQ9wC5XCWtEnbdR4H2JpT34HzDkDOGgF18gQN9lMjB3urcvTfdif5QzK1u2zufhwxag7J3uiNvOsWvObcnBzsMUS%2FtUQnGwVMUehuys9KrrFf6VBMvNLUtAaMm1%2F6OQlfTcQRahR6Vtnh%2By78MIwRjXVitmkw2gOBOGQ7CpMoZyuZJ7YKEEVMsON%2BlDUqivLnepl%2BR%2BthW5uU3B4rjJucTVTY3Ii0W0y2qOaoqD%2BlntDgWQXGbciN%2FGXuqIRLroUYZBgirpK22IL0MXPMR1LHu0jXYVo3z%2Bum3yQcn7rlkYC2U%2FTlp3VKPmFOcJP5NwSJsZC2Xr%2FU6OJJwsvQz1xFa3u24b4ql7zkuDG2q3jy4Nhu4D2J41%2Fv5%2FPyboea1L64lmxTSrd3fr9b8MdYhOFUNoKIAEK7jpXPOL%2FHXu%2BAwlFcKMmxUxItLtB5jaeWzA3vYM0jM6pgCyF5cbzdr6d3oCPlyt0mq1HxMg2gdyE5cJUdqP7iwVcbXT8digQkTNijFvYJv0amhfacYlpaAysSJIoK9ps7yB0aSBn3v6EQTH%2FOt2jc3w7hnA8KUn%2BLRewrr%2F%2FY3RLwj5IH%2BFC6TSJGEedvxr6vTgWUxWk2GdnkyoyeZ%2Fyyxk9oWlQrKFgw7JkBoxU6SHWw%3D%3D#polycard_client=search-nordic&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&wid=MLB3670308748&sid=search,"R$ 103,90",N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB3670308748
Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB37141763#polycard_client=search-nordic&searchVariation=MLB37141763&wid=MLB5211173074&position=5&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,"R$ 63,71",R$ 78,N/A,N/A,N/A,N/A,N/A,Não,MLB37141763
Cartucho De Tinta Hp 662 Preto Advantage,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-662-preto-advantage/p/MLB36772792#polycard_client=search-nordic&searchVariation=MLB36772792&wid=MLB3929057435&position=8&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,"R$ 62,90",R$ 77,N/A,N/A,N/A,N/A,N/A,Não,MLB36772792
Cartucho HP 667 Preto 2376 2776 6476,https://www.mercadolivre.com.br/cartucho-hp-667-preto-2376-2776-6476/p/MLB22022306#polycard_client=search-nordic&searchVariation=MLB22022306&wid=MLB3713375243&position=12&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,"R$ 63,90",N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB22022306
Kit Cartucho Hp 664 Preto E Hp 664 Colorido,https://www.mercadolivre.com.br/kit-cartucho-hp-664-preto-e-hp-664-colorido/p/MLB36751072#polycard_client=search-nordic&searchVariation=MLB36751072&wid=MLB4674618124&position=14&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,R$ 135,R$ 143,N/A,N/A,N/A,N/A,N/A,Não,MLB36751072
Cartucho Hp 667 Colorido 3ym78ab,https://www.mercadolivre.com.br/cartucho-hp-667-colorido-3ym78ab/p/MLB22658653#polycard_client=search-nordic&searchVariation=MLB22658653&wid=MLB3897978171&position=3&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,"R$ 70,60",N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB22658653
Cartucho de tinta preta HP Advantage 664 de 2 ml,https://www.mercadolivre.com.br/cartucho-de-tinta-preta-hp-advantage-664-de-2-ml/p/MLB36751629#polycard_client=search-nordic&searchVariation=MLB36751629&wid=MLB3866554217&position=13&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,"R$ 64,90",N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB36751629
Cartucho De Tinta 712 Preto 80ml Hp T210 T250 T650,https://www.mercadolivre.com.br/cartucho-de-tinta-712-preto-80ml-hp-t210-t250-t650/p/MLB22536214#polycard_client=search-nordic&searchVariation=MLB22536214&wid=MLB5046810704&position=9&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,R$ 419,N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB22536214
Kit Cartucho Hp 667 667xl Deskjet 2776 Preto E Color Full,https://www.mercadolivre.com.br/kit-cartucho-hp-667-667xl-deskjet-2776-preto-e-color-full/p/MLB48152766#polycard_client=search-nordic&searchVariation=MLB48152766&wid=MLB5370579290&position=17&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,R$ 319,N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB48152766
